1	дело в том что	2	3
2	указывает на то что	1	3
3	д и т д	1	2
4	одного и того же	2	2
5	не что иное как	2	2
6	еще и потому что	1	1
7	или по крайней мере	1	1
8	что бы то ни	1	1
9	для того чтобы она	1	1
10	во что бы то	1	1
11	в том что все	1	1
12	ни для кого не	1	1
13	и в этом отношении	1	1
14	и в том и	1	1
15	не говоря уже о	1	1
16	тем что в нем	1	1
17	тем не менее он	1	1
18	заключается в том что	1	1
19	между внешним и внутренним	1	1
20	бы то ни стало	1	1
21	тем не менее если	1	1
22	не только потому что	1	1
