N	3gram	Savitsky_E_1	Problemy
1	с точки зрения	16	13
2	в этом смысле	3	10
3	то же время	14	9
4	в то же	15	9
5	в том что	6	6
6	и в этом	4	5
7	но в то	2	5
8	не может быть	2	4
9	же время не	1	3
10	дело идет о	2	3
11	в этом отношении	3	3
12	во всяком случае	3	3
13	само по себе	4	3
14	с другой стороны	2	3
15	в лучшем случае	1	2
16	и в то	8	2
17	хотя бы и	3	2
18	бы то ни	4	2
19	в данном случае	2	2
20	не только в	4	2
21	в большинстве случаев	2	2
22	можно было бы	3	2
23	т е не	1	2
24	именно потому что	1	2
25	как и его	1	1
26	хотя и не	1	1
27	же как и	3	1
28	дело в том	1	1
29	в свою очередь	2	1
30	что в самом	1	1
31	в нем и	1	1
32	большей или меньшей	1	1
33	как нам кажется	5	1
34	дают для понимания	1	1
35	нам кажется что	2	1
36	что же касается	1	1
37	то и другое	1	1
38	от того в	1	1
39	то что в	2	1
40	в своей совокупности	1	1
41	ни на минуту	1	1
42	но и эта	1	1
43	на этот вопрос	1	1
44	почти никогда не	1	1
45	в противном случае	1	1
46	есть то что	1	1
47	так и в	2	1
48	может быть и	1	1
49	и в частности	2	1
50	то время как	1	1
51	так же как	5	1
52	в которых может	1	1
53	в этой концепции	1	1
54	к сожалению не	1	1
55	но не только	2	1
56	то ни было	4	1
57	тех или иных	1	1
58	в известном смысле	3	1
59	но не в	1	1
60	не могут быть	1	1
61	в большей или	1	1
62	или меньшей степени	1	1
63	до настоящего времени	1	1
64	то что может	1	1
65	но если и	1	1
66	по себе не	2	1
67	этой точки зрения	5	1
68	того или иного	4	1
69	более или менее	1	1
70	друг к другу	1	1
71	независимо от того	1	1
72	в одном из	2	1
73	по сравнению с	2	1
74	заключается в том	2	1
75	в то время	1	1
76	чтобы войти в	1	1
77	та или иная	1	1
78	именно к этой	1	1
79	как бы ни	3	1
80	выходит за пределы	1	1
81	можно сказать что	3	1
82	в полной мере	1	1
83	к тому что	1	1
84	друг с другом	3	1
85	в отношении к	12	1
86	для того чтобы	5	1
87	в себе в	1	1
88	и только в	2	1
89	и т д	1	1
90	как мы видели	2	1
