N	2gram	Medvedev_B_1	Komedia
1	и в	1	22
2	не только	1	10
3	таким образом	1	8
4	и не	2	8
5	что в	1	6
6	так и	1	5
7	прежде всего	1	5
8	с другой	1	5
9	все это	2	5
10	другой стороны	1	5
11	и о	1	3
12	и на	1	3
13	все же	1	3
14	и ее	1	3
15	вопрос о	1	3
16	у нас	3	3
17	одной из	1	3
18	всего в	1	3
19	видеть в	2	2
20	за пределы	1	2
21	меньшей мере	1	2
22	не следует	1	2
23	было бы	1	2
24	всяком случае	1	2
25	по меньшей	1	2
26	нельзя не	1	2
27	к ней	1	2
28	как будто	1	2
29	в области	1	2
30	стр и	2	2
31	и во	1	2
32	еще не	1	2
33	до конца	1	2
34	будто бы	1	2
35	из своей	1	2
36	во всяком	1	2
37	на самом	1	1
38	в ней	2	1
39	не все	1	1
40	так по	1	1
41	отнюдь не	1	1
42	остановиться на	1	1
43	бы только	1	1
44	значительной степени	1	1
45	что все	1	1
46	же не	1	1
47	об этом	1	1
48	говорить не	1	1
49	и более	1	1
50	исторических условиях	1	1
51	также что	1	1
52	говорить о	1	1
53	можно было	2	1
54	в значительной	1	1
55	больше чем	2	1
56	по мотивам	1	1
57	далеко не	1	1
58	было и	1	1
59	следовало бы	1	1
60	и потому	1	1
61	в данном	1	1
62	по богатству	1	1
63	в книге	1	1
64	об исторических	1	1
65	совершенно не	1	1
