N	2gram	Tiupa_Hudo_1	Sotsiolo
1	истории литературы	2	10
2	все это	2	7
3	в том	18	5
4	в этом	11	5
5	более чем	1	3
6	не только	16	3
7	и в	19	3
8	о литературе	3	3
9	не в	7	3
10	в его	9	3
11	за пределы	2	2
12	но и	10	2
13	было бы	1	2
14	к которому	4	2
15	только в	5	2
16	дело не	2	2
17	далеко не	2	2
18	в результате	1	2
19	тем более	1	2
20	том что	8	2
21	в частности	13	2
22	как будто	1	2
23	то что	4	2
24	или даже	3	2
25	и что	3	2
26	еще не	3	2
27	ведь это	1	2
28	таким образом	3	2
29	это и	1	2
30	отношению к	9	2
31	в конце	1	2
32	что в	6	2
33	может быть	14	2
34	как бы	9	2
35	по отношению	9	2
36	то же	10	2
37	друг от	1	1
38	крайней мере	1	1
39	что все	1	1
40	я и	7	1
41	право на	2	1
42	противном случае	2	1
43	быть не	1	1
44	наконец в	1	1
45	по себе	2	1
46	даже в	3	1
47	сама по	2	1
48	в мире	21	1
49	границы и	1	1
50	в этой	2	1
51	тому что	2	1
52	отнюдь не	2	1
53	эти два	1	1
54	но одно	1	1
55	от окружающих	1	1
56	же этот	1	1
57	с другой	7	1
58	ни одно	2	1
59	его в	2	1
60	литературы как	3	1
61	только для	1	1
62	художественных произведений	1	1
63	с ним	2	1
64	это не	2	1
65	именно в	2	1
66	в чем	2	1
67	они ни	1	1
68	который говоря	1	1
69	же по	1	1
70	в противном	2	1
71	один из	2	1
72	и есть	1	1
73	перед нами	1	1
74	в то	6	1
75	есть процесс	1	1
76	еще и	1	1
77	только то	1	1
78	а с	2	1
79	тем что	1	1
80	и как	3	1
81	что он	3	1
82	прежде всего	4	1
83	объекта и	3	1
84	в них	2	1
85	так и	11	1
86	не было	1	1
87	к субъекту	1	1
88	одной стороны	2	1
89	те же	1	1
90	но только	1	1
91	и не	15	1
92	искусство слова	5	1
93	никогда не	2	1
94	литература как	1	1
95	зависит от	1	1
96	именно такого	1	1
97	же время	5	1
98	и о	3	1
99	все эти	2	1
100	как и	2	1
101	между собой	2	1
102	себе чтобы	1	1
103	бы в	1	1
104	без этого	1	1
105	для этого	1	1
106	этом не	1	1
107	в настоящее	1	1
108	иначе говоря	4	1
109	что автор	1	1
110	в таких	1	1
111	в сущности	1	1
112	пришлось бы	1	1
113	но она	2	1
114	в связи	1	1
115	на первый	1	1
116	и его	12	1
117	в этих	3	1
118	место в	4	1
119	связи с	1	1
120	от друга	1	1
121	вступает в	1	1
122	в целом	3	1
123	не может	7	1
124	в своей	5	1
125	а в	12	1
126	тех кто	1	1
127	как совокупность	1	1
128	что она	2	1
129	о том	2	1
130	не дает	1	1
131	в области	6	1
132	к изучению	1	1
133	и потому	2	1
134	настоящее время	1	1
135	представить себе	1	1
136	он ни	1	1
137	в котором	1	1
138	в строгом	1	1
139	между ними	4	1
140	из тех	2	1
141	могут оказаться	2	1
142	говоря иначе	2	1
143	все то	1	1
144	может не	1	1
145	столь же	1	1
146	время в	1	1
147	когда мы	1	1
148	в силу	1	1
149	мы понимаем	1	1
150	он говорит	1	1
151	в область	1	1
152	в конечном	5	1
153	что это	1	1
154	вовсе не	2	1
155	ни были	1	1
156	ли не	1	1
157	на отдельные	1	1
158	же самое	1	1
159	с одной	2	1
160	может служить	2	1
161	но не	11	1
162	у него	1	1
163	а тем	1	1
164	в систему	1	1
165	в данном	4	1
166	между тем	4	1
167	но как	2	1
168	и по	2	1
169	это происходит	1	1
170	конечном счете	5	1
171	по крайней	1	1
172	и более	2	1
173	том и	2	1
174	бы они	1	1
175	в каждом	1	1
176	они не	1	1
