N	2gram	Losev_Prob_1	EvropaiE
1	и в	32	37
2	в отношении	3	32
3	в пределах	1	25
4	точки зрения	3	23
5	что в	12	21
6	не только	17	18
7	с точки	3	17
8	в то	6	16
9	то же	10	15
10	хотя бы	3	15
11	в своем	5	14
12	но в	14	14
13	в качестве	2	14
14	но и	9	14
15	и не	31	14
16	в этом	19	12
17	в их	4	11
18	в области	2	11
19	в том	9	11
20	так и	12	10
21	отнюдь не	10	9
22	в себе	15	9
23	только в	7	9
24	прежде всего	10	9
25	не может	8	9
26	так же	9	9
27	т е	1	9
28	в смысле	1	9
29	в ее	3	8
30	думать что	1	8
31	было бы	8	8
32	в своей	8	8
33	к тому	3	8
34	между тем	2	8
35	также и	11	7
36	а также	4	7
37	того что	7	7
38	так как	11	7
39	с другой	3	7
40	и выше	1	7
41	как и	3	7
42	по своему	9	7
43	между прочим	2	7
44	может быть	14	6
45	и на	8	6
46	во всех	7	6
47	на то	8	6
48	то есть	33	6
49	том что	12	6
50	того чтобы	9	6
51	вовсе не	35	6
52	для того	8	6
53	в последние	1	6
54	и даже	11	6
55	как бы	14	6
56	с этой	1	6
57	то что	42	6
58	же как	2	5
59	которую мы	1	5
60	но не	9	5
61	не в	4	5
62	в россии	1	5
63	но если	2	5
64	тем самым	4	5
65	как мы	7	5
66	в виде	15	5
67	со стороны	1	5
68	от этого	1	5
69	и потому	2	5
70	в течение	1	5
71	то в	5	4
72	мы не	2	4
73	вопрос о	1	4
74	но даже	1	4
75	на путях	1	4
76	в самом	6	4
77	во многих	2	4
78	то ни	1	4
79	того или	2	4
80	несмотря на	3	4
81	из числа	2	4
82	даже в	1	4
83	не имеет	2	4
84	и притом	4	4
85	в процессе	1	4
86	к ней	1	4
87	той или	5	4
88	бы то	1	4
89	по себе	15	4
90	можно сказать	5	4
91	тем более	5	4
92	именно в	4	4
93	ни было	1	4
94	или иной	5	4
95	не на	3	4
96	мира в	1	4
97	как это	6	4
98	для нас	5	4
99	сказать что	13	4
100	или иного	2	4
101	в каком	3	4
102	из всех	1	3
103	бы и	1	3
104	на себя	2	3
105	что согласно	1	3
106	того же	3	3
107	в общем	1	3
108	как в	4	3
109	и к	1	3
110	себе не	3	3
111	в известном	1	3
112	но на	1	3
113	вообще не	2	3
114	в определенном	1	3
115	мы можем	4	3
116	страны и	1	3
117	не будет	2	3
118	не дает	1	3
119	этом смысле	6	3
120	и тем	13	3
121	в них	7	3
122	с тем	5	3
123	мы видели	1	3
124	и некоторые	1	3
125	в которых	3	3
126	можно ли	5	3
127	дело в	3	3
128	никогда не	7	3
129	потому что	16	3
130	уже и	3	3
131	всех случаях	1	3
132	можно было	3	3
133	о том	11	3
134	место в	1	3
135	и только	4	3
136	известном смысле	1	3
137	в стороне	1	3
138	всяком случае	3	3
139	не из	1	3
140	в данной	1	3
141	из них	3	3
142	ту или	1	3
143	в известной	1	3
144	в прошлом	1	3
145	тем что	7	3
146	этом отношении	1	3
147	говорит о	3	3
148	ни на	4	3
149	в данном	9	3
150	россии как	2	3
151	не является	5	3
152	известной степени	2	3
153	и для	4	3
154	и от	1	3
155	в результате	2	3
156	не более	1	3
157	ее в	2	3
158	как на	1	3
159	в таком	9	3
160	во всяком	7	3
161	для этих	2	2
162	самым в	1	2
163	и то	6	2
164	по преимуществу	2	2
165	что эти	1	2
166	должна быть	1	2
167	и этот	1	2
168	есть не	6	2
169	что если	2	2
170	именно к	1	2
171	которое в	1	2
172	не нужно	3	2
173	он сам	2	2
174	но как	6	2
175	в свои	1	2
176	россия есть	1	2
177	и чем	1	2
178	в истории	4	2
179	поскольку они	1	2
180	с этим	3	2
181	помнить что	3	2
182	хотя и	6	2
183	тому или	1	2
184	и как	6	2
185	есть ли	1	2
186	что это	3	2
187	чем больше	4	2
188	в этой	10	2
189	что к	2	2
190	xviii и	1	2
191	в случае	3	2
192	и если	6	2
193	как оно	3	2
194	но именно	3	2
195	он не	3	2
196	и еще	3	2
197	или иному	1	2
198	отношений между	1	2
199	в силу	1	2
200	но было	1	2
201	таким образом	6	2
202	это значит	1	2
203	и с	2	2
204	заключается в	1	2
205	с другими	2	2
206	все другие	2	2
207	для них	2	2
208	далеко не	5	2
209	и того	2	2
210	в эту	2	2
211	в этих	3	2
212	или точнее	1	2
213	но поскольку	1	2
214	в котором	5	2
215	представление о	1	2
216	не к	1	2
217	или вернее	3	2
218	тому чтобы	1	2
219	можем сказать	1	2
220	она не	2	2
221	тогда когда	1	2
222	на язык	1	2
223	по своей	1	2
224	как будто	3	2
225	что на	1	2
