N	3gram	Tiupa_Anal_2	Komedia
1	в том что	6	9
2	в самом деле	1	6
3	в свою очередь	1	6
4	в то же	2	4
5	о том что	6	4
6	то же время	2	4
7	к тому же	4	4
8	если бы он	1	3
9	по отношению к	4	3
10	с точки зрения	2	3
11	в связи с	1	3
12	и в самом	2	3
13	речь идет о	1	3
14	с одной стороны	4	3
15	тем не менее	3	3
16	то же самое	1	3
17	состоит в том	4	2
18	так или иначе	1	2
19	в этом случае	4	2
20	в этом отношении	3	2
21	в этой связи	1	2
22	с другой стороны	2	2
23	из того же	1	2
24	в конечном счете	2	2
25	на этот раз	1	2
26	но и все	1	1
27	не в состоянии	1	1
28	в обоих случаях	2	1
29	бы он был	1	1
30	как уже говорилось	2	1
31	на себя внимание	3	1
32	более или менее	1	1
33	подобно тому как	3	1
34	в ответ на	2	1
35	в соответствии с	2	1
36	так и не	4	1
37	как это было	1	1
38	и там и	1	1
39	со стороны других	1	1
40	в отличие от	2	1
41	в первую очередь	1	1
42	в третий раз	1	1
43	и если бы	1	1
44	но в следующем	1	1
45	отнюдь не является	1	1
46	и не требует	1	1
47	себя внимание что	1	1
48	на то что	2	1
49	этом случае в	1	1
50	каждом из них	1	1
51	несмотря на то	1	1
52	с этой точки	1	1
53	по крайней мере	3	1
54	к счастью в	1	1
55	тому же не	1	1
56	едва ли не	2	1
57	в самом начале	3	1
58	обращает на себя	3	1
59	же самое что	1	1
60	следует понимать как	1	1
61	и в пределах	1	1
62	и вся его	1	1
63	это не так	1	1
64	самом его конце	1	1
65	из них не	1	1
66	как и всякий	1	1
67	этой точки зрения	1	1
68	а то что	1	1
69	там и здесь	1	1
70	хотя он и	1	1
71	так же точно	1	1
72	можно сказать что	1	1
73	они относятся к	1	1
74	если говорить о	2	1
75	и не знает	1	1
76	не менее в	1	1
77	тому как мы	1	1
78	этот раз не	1	1
79	в самом его	1	1
80	к тому что	1	1
81	всего лишь два	1	1
82	в отношении к	1	1
83	все это делает	1	1
84	друг с другом	1	1
85	как и вся	1	1
86	и в этом	4	1
87	но если бы	1	1
88	выходят за пределы	1	1
89	и все его	1	1
90	в свое время	1	1
