N	3gram	Berdyaev_M_2	FransuaR
1	в том что	2	6
2	той или иной	1	5
3	до сих пор	3	4
4	с точки зрения	1	3
5	в этом отношении	1	3
6	так и не	1	3
7	на самом деле	1	2
8	в своей книге	1	2
9	очень характерно для	1	2
10	но и в	1	2
11	ни к какому	1	2
12	в значительной степени	1	2
13	выход за пределы	1	2
14	на протяжении всего	1	2
15	во всех его	1	2
16	по своей природе	1	1
17	этап в развитии	1	1
18	для него не	1	1
19	а между тем	1	1
20	потому что он	2	1
21	в прошлое и	1	1
22	он так и	1	1
23	по отношению к	2	1
24	в xix веке	1	1
25	том что он	1	1
26	резком противоречии с	1	1
27	во франции он	1	1
28	в этой борьбе	1	1
29	на что не	1	1
30	к человеку и	3	1
31	с самим собой	1	1
32	человека в его	1	1
33	так как он	2	1
34	в резком противоречии	1	1
35	но это и	1	1
36	его отношения к	1	1
37	не потому что	1	1
38	это сама жизнь	1	1
39	лежит в основе	1	1
40	он перестает быть	1	1
41	в xx веке	1	1
42	в обычном смысле	1	1
43	между тем в	1	1
44	друг друга нет	1	1
45	ни на что	1	1
46	не может быть	8	1
47	по ту сторону	1	1
48	в нем нет	2	1
49	жизни в этом	1	1
50	и не знает	1	1
51	именно потому что	1	1
52	xix века и	1	1
53	для того чтобы	4	1
54	значение но и	1	1
55	но это не	2	1
56	в отношении к	2	1
57	к нему нельзя	1	1
58	и в нем	1	1
59	он видит в	1	1
60	большое место в	1	1
