N	2gram	Berdyaev_O_1	Stilisti
1	и в	19	42
2	не только	11	27
3	как бы	3	27
4	прежде всего	9	22
5	хотя бы	3	17
6	но и	13	15
7	и не	13	14
8	не может	4	12
9	может быть	11	12
10	как и	6	11
11	в этом	12	10
12	и как	1	10
13	мы не	1	9
14	для того	3	9
15	то что	5	9
16	в ней	1	8
17	все же	2	8
18	в себе	3	8
19	и это	1	8
20	с тем	2	8
21	что же	2	8
22	и на	2	7
23	в которой	2	7
24	было бы	3	7
25	так как	2	7
26	никогда не	9	7
27	потому что	9	7
28	того чтобы	4	7
29	ничего не	2	7
30	с его	4	7
31	и его	4	7
32	а не	11	7
33	и от	3	7
34	в этой	5	6
35	в нем	10	6
36	не в	11	6
37	в процессе	1	6
38	так и	2	6
39	в форме	1	6
40	в конце	1	6
41	речи и	1	6
42	уже в	2	5
43	и с	2	5
44	в сознании	1	5
45	а в	5	5
46	в его	7	5
47	как это	1	5
48	своей жизни	2	5
49	и то	2	4
50	самом деле	1	4
51	тем же	1	4
52	и к	2	4
53	но в	2	4
54	в самом	5	4
55	что это	1	4
56	уже не	1	4
57	можно было	1	4
58	в каждом	1	4
59	его в	2	4
60	художественного творчества	1	4
61	и без	1	4
62	у нас	1	4
63	всего в	2	4
64	если бы	1	4
65	о том	3	4
66	во внутренней	1	4
67	все время	1	4
68	того что	3	4
69	один из	1	4
70	а с	1	4
71	и пр	1	4
72	все это	6	4
73	не существует	1	4
74	бы в	1	4
75	человека не	1	4
76	отношения к	1	3
77	на самом	1	3
78	еще не	3	3
79	то он	1	3
80	хотя и	2	3
81	та же	1	3
82	и вот	3	3
83	заключает в	1	3
84	лишь в	7	3
85	это не	3	3
86	том что	2	3
87	что было	1	3
88	в потоке	1	3
89	в разных	1	3
90	внутренней жизни	1	3
91	да и	1	3
92	в виду	1	3
93	в ее	2	3
94	что у	2	3
95	и здесь	1	3
96	нуждается в	1	3
97	жизни и	1	3
98	из них	1	3
99	его и	1	3
100	не так	1	3
101	в котором	1	3
102	в одном	1	3
103	от того	1	3
104	что и	2	3
105	и даже	1	3
106	и эта	1	3
107	природы он	2	3
108	этого слова	1	3
109	и для	2	3
110	и все	10	3
111	сказать что	2	3
112	также и	1	2
113	человека и	10	2
114	с кем	1	2
115	и больше	1	2
116	его не	2	2
117	вопрос о	10	2
118	и он	8	2
119	природы и	2	2
120	но не	1	2
121	отношение к	5	2
122	себе и	1	2
123	как в	1	2
124	и нет	2	2
125	между двумя	1	2
126	чего же	1	2
127	человеком в	1	2
128	к чему	1	2
129	бы и	1	2
130	представляет собой	1	2
131	все эти	4	2
132	человек не	7	2
133	и сам	1	2
134	человека в	11	2
135	есть не	1	2
136	в жизни	1	2
137	в этих	3	2
138	в своей	2	2
139	ли он	1	2
140	в отношении	1	2
141	для всякого	2	2
142	в мире	1	2
143	его речь	1	2
144	ее с	1	2
