N	3gram	Bakhtin_sl_2	Hudozhes
1	в том что	4	11
2	по отношению к	4	7
3	о том что	1	7
4	то же время	4	4
5	в то же	4	4
6	том что в	1	3
7	не может быть	15	3
8	как и в	1	3
9	с одной стороны	5	3
10	для того чтобы	2	3
11	тем не менее	1	3
12	том что она	1	2
13	а не в	1	2
14	дело не только	1	2
15	с точки зрения	3	2
16	рядом с собой	1	2
17	до сих пор	2	2
18	и в то	1	2
19	хотя бы и	2	2
20	и т п	33	2
21	как он сам	1	2
22	того или иного	1	2
23	не только не	1	2
24	не только в	2	2
25	и т д	2	2
26	более глубокое и	1	1
27	зрения на мир	2	1
28	той или иной	5	1
29	как например в	1	1
30	что он не	1	1
31	между тем как	1	1
32	в этом отношении	3	1
33	это так сказать	1	1
34	том числе и	1	1
35	в значительной степени	6	1
36	а также и	2	1
37	все более и	1	1
38	с другой стороны	1	1
39	а в том	1	1
40	в соединении с	1	1
41	в этом случае	6	1
42	с самого начала	1	1
43	к чужому слову	2	1
44	более и более	1	1
45	но все же	4	1
46	однако и здесь	1	1
47	в этой роли	1	1
48	в том числе	1	1
49	о нем он	1	1
50	человека и его	2	1
51	и с ее	1	1
52	в пределах одного	7	1
