N	3gram	Propp_Isto_1	Hudozhes
1	о том что	3	9
2	по отношению к	3	8
3	и т п	1	8
4	в том что	4	6
5	к тому что	1	4
6	можно было бы	3	4
7	в этой связи	1	4
8	в связи с	3	3
9	но в то	1	3
10	и т д	22	3
11	в этом отношении	1	3
12	тем не менее	6	3
13	о том как	1	2
14	не в том	1	2
15	того или иного	1	2
16	на то что	4	2
17	в значительной степени	1	2
18	не только в	1	2
19	тот момент когда	1	2
20	в тот момент	1	2
21	до сих пор	5	2
22	не может быть	7	2
23	не только для	1	1
24	в том как	1	1
25	вопросе о том	1	1
26	не чем иным	1	1
27	с одной стороны	4	1
28	с самого начала	2	1
29	он живет в	1	1
30	приводит к тому	1	1
31	в том случае	1	1
32	друг с другом	3	1
33	и об этих	1	1
34	в этой главе	1	1
35	в иных случаях	1	1
36	в это время	1	1
37	по себе а	1	1
38	и в этом	1	1
39	но и для	1	1
40	в начале рассказа	1	1
41	того что он	1	1
42	это своего рода	1	1
43	что мы узнаем	1	1
44	в этом смысле	1	1
45	уже не может	1	1
46	не означает что	2	1
47	все дело в	1	1
48	еще ничего не	1	1
49	также в значительной	1	1
50	и она не	1	1
51	ответить на вопрос	1	1
52	же как и	1	1
53	является не чем	1	1
54	в первом случае	1	1
55	на первый взгляд	2	1
56	в отличие от	2	1
57	чем иным как	1	1
58	и так что	1	1
59	на самом же	1	1
60	и в конце	1	1
61	как будто бы	2	1
62	более или менее	5	1
63	с того что	3	1
64	в чистом виде	2	1
65	одной стороны и	1	1
66	что в жизни	1	1
67	может быть только	1	1
68	содержит в себе	1	1
69	сами по себе	1	1
70	то же самое	3	1
71	но все же	3	1
72	прежде всего в	1	1
73	дает ключ к	2	1
74	в стороне от	1	1
75	пока еще не	1	1
76	нами не как	1	1
77	относится и к	1	1
78	самом же деле	1	1
79	начинается именно с	1	1
80	не только на	1	1
81	все же не	2	1
82	легко заметить что	1	1
83	о нем но	1	1
84	в данной связи	1	1
85	до известной степени	1	1
86	так и по	1	1
87	если бы не	1	1
88	к тому чтобы	1	1
89	только в рамках	1	1
90	за то что	1	1
91	та же самая	1	1
92	на вопросе о	1	1
93	в саду и	1	1
