N	2gram	Medvedev_I_1	Otkroven
1	и в	1	19
2	и не	2	13
3	в этом	2	12
4	из подполья	1	11
5	никогда не	1	9
6	он не	2	7
7	все это	1	6
8	человеке и	1	5
9	для него	1	5
10	а в	1	5
11	записок из	2	5
12	все эти	1	4
13	того чтобы	1	4
14	что в	2	4
15	самого достоевского	1	3
16	того что	1	3
17	для того	1	3
18	это было	1	3
19	и с	3	2
20	так и	1	2
21	и о	1	2
22	художественном творчестве	1	2
23	к достоевскому	1	2
24	что для	1	2
25	же это	1	2
26	тем что	1	2
27	из мертвого	1	2
28	достоевского с	1	2
29	и очень	1	2
30	ничего не	2	2
31	о достоевском	2	2
32	мертвого дома	1	2
33	жизни этого	1	1
34	преступления и	1	1
35	если бы	1	1
36	вся диалектика	1	1
37	писателя а	1	1
38	от этого	1	1
39	со всеми	1	1
40	и сам	1	1
41	всего творчества	1	1
42	и наказания	1	1
43	в них	1	1
44	а с	1	1
45	нисколько не	1	1
46	не так	1	1
47	художественного творчества	1	1
48	и без	1	1
49	слишком много	1	1
50	я нисколько	1	1
51	оба они	2	1
52	было не	1	1
53	не случайно	1	1
54	творчества достоевского	2	1
55	ушел от	1	1
56	братья карамазовы	1	1
57	бы в	1	1
58	был человек	1	1
59	жизни и	1	1
