N	3gram	Potebnia_M_1	Freidism
1	с точки зрения	3	11
2	по отношению к	13	8
3	во всяком случае	1	7
4	не может быть	9	7
5	то же время	3	4
6	в то же	3	4
7	на самом деле	1	4
8	как мы видели	1	4
9	для того чтобы	2	3
10	в таком случае	2	3
11	бы то ни	2	3
12	в собственном смысле	1	3
13	на этот вопрос	2	3
14	и той же	3	3
15	в свою очередь	4	3
16	с самого начала	3	3
17	одной и той	3	3
18	до сих пор	1	2
19	который необходим для	1	2
20	и не нуждается	1	2
21	так и в	3	2
22	не могут быть	2	2
23	все то что	2	2
24	в этом отношении	1	2
25	то ни было	1	2
26	с одной стороны	3	2
27	тем не менее	6	2
28	мы видели что	1	2
29	общие для всех	1	1
30	и может быть	2	1
31	только потому что	2	1
32	один из основных	1	1
33	то ни стало	1	1
34	зависит от того	2	1
35	так как в	2	1
36	и в отношении	1	1
37	в таком виде	2	1
38	отношению к тому	1	1
39	как бы ни	2	1
40	но тем не	3	1
41	во что бы	1	1
42	душевной жизни человека	1	1
43	при других обстоятельствах	1	1
44	же объясняется и	1	1
45	друг на друга	1	1
46	в его душе	1	1
47	той же группе	1	1
48	не было бы	1	1
49	только то что	1	1
50	из того что	1	1
51	не менее он	1	1
52	или по крайней	1	1
53	вместе с этим	1	1
54	по крайней мере	2	1
55	именно того что	1	1
56	что бы то	1	1
57	можем ли мы	1	1
58	продолжает жить и	1	1
59	связанная с ним	1	1
60	и не могут	1	1
61	но при этом	1	1
62	все без исключения	1	1
63	всяком случае не	1	1
64	и потому не	1	1
65	всего человеческого рода	1	1
66	могут быть сведены	1	1
67	во внимание и	1	1
68	в этой теории	1	1
69	и все же	1	1
70	это было бы	1	1
71	таким образом в	1	1
72	мы не можем	1	1
73	от того что	1	1
74	в то время	1	1
75	то что мы	1	1
76	имея в виду	1	1
77	рождается вместе с	1	1
78	о том что	1	1
79	не только не	2	1
80	но все же	1	1
81	но и по	1	1
82	как мы видим	1	1
83	смысле этого слова	1	1
84	может перейти в	1	1
85	то время когда	1	1
86	в этом смысле	4	1
87	них не было	1	1
88	потому что оно	1	1
89	и т д	4	1
90	того же предмета	1	1
91	быть не может	2	1
92	в том что	13	1
93	она не может	1	1
94	что и в	3	1
95	не нуждается в	2	1
96	не теряет своей	1	1
