N	3gram	Tiupa_Narr_2	Mirosoze
1	не может быть	2	8
2	для того чтобы	1	4
3	что иное как	1	3
4	до сих пор	1	3
5	к тому что	3	3
6	так же как	2	3
7	есть не что	1	3
8	не что иное	1	3
9	в чем не	1	2
10	подобно тому как	2	2
11	о том что	4	2
12	по отношению к	5	2
13	ни в чем	1	2
14	никогда не бывает	1	2
15	в том что	8	2
16	а между тем	1	1
17	сомневаться в том	1	1
18	в которых он	1	1
19	никогда не будет	1	1
20	с точки зрения	2	1
21	у него есть	1	1
22	а также в	1	1
23	того что есть	1	1
24	и быть может	1	1
25	но и в	2	1
26	в этом отношении	3	1
27	все те же	2	1
28	в другом и	1	1
29	ни у кого	1	1
30	в той мере	2	1
31	с другим я	1	1
32	у нас нет	2	1
33	человек в нем	1	1
34	как в жизни	1	1
35	а не только	1	1
36	но в действительности	1	1
37	той мере в	2	1
38	по сравнению с	1	1
39	и не могли	1	1
40	по природе своей	1	1
41	что это за	1	1
42	за пределы своего	1	1
43	в этом направлении	1	1
44	не для того	1	1
45	что у него	1	1
46	я не могу	1	1
47	мере в какой	2	1
48	на эту тему	1	1
49	как бы не	1	1
50	означает что в	1	1
51	не может существовать	1	1
52	той или иной	3	1
53	и теперь я	1	1
54	не означает что	1	1
55	на самом деле	2	1
56	в этом втором	1	1
57	природе своей не	1	1
58	по своей природе	2	1
