N	2gram	Savitsky_E_1	Vladivir
1	и в	37	31
2	не только	18	24
3	а к	1	22
4	но и	14	19
5	то что	6	18
6	и не	14	17
7	и даже	6	15
8	в этом	12	14
9	том что	6	14
10	и с	2	14
11	что в	21	14
12	но в	14	12
13	в его	2	12
14	с его	1	11
15	о том	3	11
16	в том	11	11
17	между прочим	7	11
18	потому что	3	11
19	и то	2	10
20	также и	7	10
21	он не	2	10
22	как мы	5	9
23	никогда не	3	9
24	только в	9	9
25	с а	2	9
26	в течение	5	9
27	а в	2	9
28	и по	5	8
29	в то	16	8
30	так как	7	8
31	кроме того	1	7
32	как это	4	7
33	и его	1	7
34	для него	1	7
35	об этом	1	7
36	уже в	1	7
37	сказать что	4	7
38	того же	3	6
39	то же	15	6
40	и к	3	6
41	в котором	2	6
42	у нас	1	6
43	и сам	1	6
44	так и	10	6
45	и что	2	6
46	его жизни	1	6
47	можно сказать	4	6
48	в качестве	14	6
49	может быть	6	6
50	на этот	2	6
51	и потому	5	6
52	не может	9	6
53	но как	2	5
54	когда он	3	5
55	на то	6	5
56	и если	2	5
57	не в	5	5
58	со своим	1	5
59	что и	3	5
60	вовсе не	6	5
61	не было	1	5
62	что же	2	5
63	и от	3	5
64	а также	7	5
65	с ним	1	5
66	в свое	1	5
67	жизни и	2	5
68	в своих	2	5
69	что его	1	4
70	в этой	2	4
71	в истории	2	4
72	в своем	14	4
73	хотя и	2	4
74	и как	2	4
75	в этот	1	4
76	в нашем	1	4
77	в себе	9	4
78	в нем	1	4
79	главным образом	2	4
80	в россии	5	4
81	же касается	1	4
82	этом смысле	3	4
83	как и	7	4
84	несмотря на	4	4
85	еще в	1	4
86	в своей	8	4
87	и вообще	1	4
88	дело в	3	4
89	можно судить	1	4
90	же время	14	4
91	к ней	4	4
92	во всем	1	4
93	к нему	2	4
94	по своей	2	4
95	один из	1	4
96	и теперь	2	4
97	этот раз	1	4
98	что для	1	4
99	и все	2	4
100	для нас	4	4
101	с в	2	3
102	на себя	3	3
103	и на	6	3
104	нам представляется	1	3
105	то мы	1	3
106	но не	5	3
107	в общем	3	3
108	за пределы	1	3
109	отнюдь не	9	3
110	как в	3	3
111	все же	1	3
112	более или	1	3
113	он в	1	3
114	все эти	1	3
115	что к	2	3
116	но на	3	3
117	на его	1	3
118	то есть	6	3
119	мы хотели	1	3
120	года по	1	3
121	или менее	1	3
122	но это	1	3
123	в отношении	32	3
124	и притом	4	3
125	таким образом	2	3
126	к тому	8	3
127	в жизни	1	3
128	ii с	1	3
129	тот же	1	3
130	мы увидим	1	3
131	уже не	1	3
132	в виде	5	3
133	с другой	7	3
134	по своим	3	3
135	только к	2	3
136	него не	1	3
137	если не	1	3
138	в связи	1	3
139	вместе с	2	3
140	по своему	7	3
141	в начале	1	3
142	это можно	1	3
143	хотели бы	1	3
144	другой стороны	2	3
145	но этот	1	3
146	и т	1	2
147	тех же	1	2
148	и до	1	2
149	той же	1	2
150	и тут	2	2
151	в полной	4	2
152	в англию	2	2
153	хотя бы	15	2
154	но даже	4	2
155	он сам	2	2
156	россии и	3	2
157	мы будем	1	2
158	к жизни	1	2
159	в свои	2	2
160	один и	1	2
161	его на	2	2
162	некоторое время	1	2
163	его к	1	2
164	конечно не	1	2
165	и тот	1	2
166	но его	1	2
167	тому же	1	2
168	при этом	1	2
169	т д	1	2
170	и еще	2	2
171	на этом	1	2
172	от нее	1	2
173	что все	2	2
174	на ту	1	2
175	лишь в	1	2
176	было бы	8	2
177	в свой	1	2
178	кажется что	2	2
179	в них	3	2
180	на основании	2	2
181	с тем	3	2
182	можно считать	3	2
183	точки зрения	23	2
184	и сейчас	2	2
185	место в	3	2
186	значение для	1	2
187	выше мы	1	2
188	для нее	1	2
189	даже в	4	2
190	не менее	1	2
191	тем самым	5	2
192	что с	1	2
193	с и	10	2
194	того чтобы	6	2
195	больше чем	1	2
196	именно с	1	2
197	к концу	1	2
198	уже и	3	2
199	что на	2	2
200	в каком	4	2
201	со стороны	5	2
202	для того	6	2
203	для себя	1	2
204	и о	1	2
205	то время	1	2
206	это мы	1	2
207	то как	1	2
208	во многом	2	2
209	был не	1	2
210	о котором	1	2
211	ними и	2	2
212	в вопросах	1	2
213	как было	3	2
214	времени в	1	2
215	в которую	1	2
216	и можно	2	2
217	того в	1	2
218	а именно	2	2
219	которая как	1	2
220	и мы	3	2
221	того что	7	2
222	с ними	1	2
223	всяком случае	3	2
224	никак нельзя	1	2
225	этот факт	3	2
226	на несколько	1	2
227	по этому	1	2
228	русской истории	1	2
229	одной из	5	2
230	то и	1	2
231	и философии	1	2
232	не из	3	2
233	и других	2	2
234	из них	3	2
235	мы знаем	1	2
236	тем что	3	2
237	даже не	1	2
238	и затем	1	2
239	с которым	1	2
240	что мы	1	2
241	начиная с	2	2
242	суждений о	1	2
243	в тех	1	2
244	для тех	1	2
245	и для	3	2
246	указать на	1	2
247	в результате	3	2
248	особого рода	1	2
249	тем более	4	2
250	мы должны	2	2
251	на такой	1	2
252	в самом	4	2
253	к этой	1	2
254	и это	1	2
255	в частности	5	2
256	как на	3	2
257	во всяком	3	2
258	все что	1	2
259	всегда в	1	1
260	как известно	1	1
261	но более	1	1
262	отношении к	15	1
263	нам кажется	7	1
264	то в	4	1
265	ведь и	2	1
266	в их	11	1
267	есть не	2	1
268	том насколько	1	1
269	согласно сказанному	2	1
270	что если	2	1
271	большую роль	1	1
272	ответить на	1	1
273	в основных	1	1
274	почти все	1	1
275	есть нечто	1	1
276	время как	1	1
277	в некотором	4	1
278	не способен	1	1
279	мы здесь	1	1
280	в ней	4	1
281	значительной мере	1	1
282	может дать	1	1
283	литературы и	1	1
284	также о	1	1
285	и философские	1	1
286	не нужно	2	1
287	на них	2	1
288	но скорее	1	1
289	столь же	5	1
290	бы то	4	1
291	во всех	6	1
292	поскольку они	2	1
293	бы она	1	1
294	и всего	1	1
295	видели что	1	1
296	россия и	2	1
297	значение и	1	1
298	по отношению	1	1
299	понимали что	1	1
300	тогда как	1	1
301	а через	1	1
302	на вопрос	1	1
303	относится к	1	1
304	к какой	1	1
305	что во	1	1
306	дает нам	1	1
307	быть речи	1	1
308	что как	1	1
309	ней в	1	1
310	положения он	1	1
311	километров от	2	1
312	и всецело	2	1
313	что по	1	1
314	себе не	3	1
315	с г	1	1
316	таковы например	1	1
317	представляет собой	3	1
318	близости к	1	1
319	же кто	1	1
320	всем его	1	1
321	возможна ли	1	1
322	и те	1	1
323	жизнью и	1	1
324	в свет	1	1
325	в переводе	1	1
326	всем своем	1	1
327	не к	2	1
328	в силу	2	1
329	чтобы в	1	1
330	поскольку она	2	1
331	но все	1	1
332	том же	1	1
333	не будет	3	1
334	в духовной	1	1
335	поэзии и	1	1
336	те же	1	1
337	заключается в	2	1
338	с другими	2	1
339	например с	2	1
340	и тем	3	1
341	даже что	2	1
342	только одно	2	1
