N	2gram	Bakhtin_Pr_1	KFilosof
1	может быть	26	43
2	в его	43	39
3	в нем	15	31
4	не может	27	27
5	и не	42	26
6	по отношению	21	25
7	и в	38	22
8	в себе	4	21
9	в котором	2	21
10	отношению к	19	21
11	не есть	6	19
12	и его	16	17
13	в ее	4	17
14	а не	5	17
15	только в	13	16
16	в соотнесении	1	14
17	в этом	15	13
18	эстетического видения	1	13
19	точки зрения	8	13
20	и это	3	12
21	но не	12	12
22	ни в	11	12
23	для него	1	12
24	все эти	5	11
25	как момент	3	11
26	в своей	7	11
27	не в	7	11
28	соотнесении с	1	11
29	к нему	10	11
30	во всех	11	10
31	в едином	2	10
32	в своем	5	10
33	это не	5	10
34	с точки	6	10
35	все это	3	10
36	и есть	2	9
37	в их	10	9
38	в целом	3	9
39	для нее	8	9
40	его целом	5	9
41	бытия и	1	9
42	но и	9	9
43	как бы	22	9
44	и для	11	9
45	и все	3	9
46	момент его	2	8
47	лишь в	2	8
48	было бы	8	8
49	мир в	2	8
50	если бы	3	8
51	не было	2	8
52	жизни и	1	8
53	я должен	2	7
54	то что	8	7
55	поступка и	9	7
56	во всем	2	7
57	должен быть	2	7
58	на основе	6	7
59	в себя	2	7
60	в поступке	1	7
61	и здесь	2	7
62	что и	2	7
63	себя в	2	7
64	конечно не	5	7
65	в единстве	12	7
66	вовсе не	2	7
67	быть только	5	7
68	я не	2	6
69	момент в	1	6
70	менее всего	3	6
71	отношение к	10	6
72	отнюдь не	19	6
73	и я	1	6
74	он не	3	6
75	лишь момент	3	6
76	но лишь	2	6
77	в мире	3	6
78	этот момент	2	6
79	и только	4	6
80	и действительно	1	6
81	совершенно не	7	6
82	уже не	1	6
83	эстетическое видение	1	6
84	но это	3	6
85	в смысле	1	6
86	поступка в	1	6
87	в действительном	1	6
88	в том	8	6
89	мир где	1	5
90	от своей	1	5
91	мы имеем	2	5
92	жизни как	1	5
93	но как	2	5
94	все же	6	5
95	но в	4	5
96	не только	9	5
97	но ведь	1	5
98	то же	5	5
99	его в	9	5
100	как и	7	5
