N	4gram	Tiupa_Anal_1	SlovoVZh
1	есть выражение и продукт	1	1
2	взаимодействия трех говорящего автора	1	1
3	социального взаимодействия трех говорящего	1	1
4	и продукт социального взаимодействия	1	1
5	слово есть выражение и	1	1
6	или о чем говорят	1	1
7	выражение и продукт социального	1	1
8	действительно произнесенное или осмысленно	1	1
9	продукт социального взаимодействия трех	1	1
10	ком или о чем	1	1
11	говорят героя слово социальное	1	1
12	о чем говорят героя	1	1
13	чем говорят героя слово	1	1
14	героя слово социальное событие	1	1
15	читателя и того о	1	1
16	произнесенное или осмысленно написанное	1	1
17	того о ком или	1	1
18	и того о ком	1	1
19	о ком или о	1	1
