N	2gram	Tiupa_Lite_1	Sovremen
1	таким образом	3	8
2	в этом	12	5
3	не может	5	5
4	мы можем	1	4
5	мы не	1	4
6	каждого элемента	1	4
7	в каждом	1	4
8	как бы	7	4
9	все эти	2	3
10	в целом	8	3
11	и мы	1	3
12	на две	1	3
13	не можем	1	3
14	зависимости от	1	3
15	следующим образом	2	3
16	состоит из	1	3
17	в зависимости	1	3
18	из двух	1	3
19	из этих	2	2
20	а на	1	2
21	как известно	1	2
22	как угодно	1	2
23	на этом	2	2
24	в одном	1	2
25	все же	4	2
26	и в	8	2
27	из четырех	1	2
28	но в	3	2
29	же это	2	2
30	что же	1	2
31	в третьем	1	2
32	в дальнейшем	1	2
33	с другом	1	2
34	тот же	1	2
35	если мы	1	2
36	и все	1	2
37	прежде всего	11	2
38	не только	24	2
39	точки зрения	6	2
40	в виде	1	2
41	то же	5	2
42	из которых	1	2
43	мы получим	1	2
44	не в	8	2
45	с одной	2	2
46	при этом	19	2
47	который как	1	2
48	уже на	1	1
49	и не	12	1
50	как мы	1	1
51	зрения для	1	1
52	вследствие этого	1	1
53	он не	1	1
54	в любом	2	1
55	так называемых	2	1
56	образом если	1	1
57	за собой	1	1
58	роль в	2	1
59	а в	3	1
60	в то	5	1
61	в своих	4	1
62	как он	2	1
63	со всеми	1	1
64	в нашем	1	1
65	свою очередь	1	1
66	дело в	3	1
67	должен быть	2	1
68	с другой	3	1
69	в другом	2	1
70	и т.п	4	1
71	можно назвать	1	1
72	отличие от	5	1
73	на второй	2	1
74	но все	1	1
75	как и	6	1
76	в которой	1	1
77	она не	1	1
78	еще не	4	1
79	в отдельных	1	1
80	данного вида	1	1
81	жизни и	3	1
82	о том	2	1
83	пока не	1	1
84	того же	2	1
85	один из	3	1
86	это как	2	1
87	же в	5	1
88	а все	1	1
89	же время	5	1
90	для своего	2	1
91	для нас	1	1
92	все более	2	1
93	и у	1	1
94	что в	3	1
95	в один	1	1
96	на это	2	1
97	бы два	1	1
98	а не	16	1
99	они все	1	1
100	так называемый	2	1
101	это делает	1	1
102	той же	3	1
103	между ними	1	1
104	может быть	13	1
105	что при	1	1
106	случая мы	1	1
107	а затем	1	1
108	мы имеем	1	1
109	тем же	3	1
110	себя самого	1	1
111	в том	16	1
112	и т.д	1	1
113	многих его	1	1
114	это не	4	1
115	во внутреннем	1	1
116	это уже	2	1
117	уже в	5	1
118	в себе	7	1
119	одной стороны	2	1
120	одна из	3	1
121	к концу	1	1
122	и даже	3	1
123	и от	1	1
124	в этой	4	1
125	у читателя	1	1
126	так как	1	1
127	у него	3	1
128	по преимуществу	4	1
129	он в	1	1
130	же как	1	1
131	не подлежит	1	1
132	более и	1	1
133	в нем	2	1
134	так сказать	1	1
135	значение в	1	1
136	подлежит сомнению	1	1
137	и всегда	1	1
138	между двумя	1	1
139	и по	1	1
140	один и	1	1
141	оно вообще	1	1
142	идет о	1	1
143	и более	1	1
144	только из	1	1
145	в конце	4	1
146	они не	1	1
147	в свою	1	1
148	том что	14	1
149	в своем	11	1
150	в отличие	5	1
151	которых в	1	1
152	и будет	1	1
153	на котором	1	1
