N	3gram	Potebnia_M_3	VerxiiNi
1	вместе с тем	4	8
2	с одной стороны	3	7
3	более или менее	3	5
4	до сих пор	3	5
5	по крайней мере	5	5
6	друг с другом	1	5
7	для того чтобы	3	5
8	о том что	1	4
9	к тому же	1	4
10	так или иначе	1	3
11	с течением времени	1	3
12	и таким образом	1	3
13	тем не менее	3	3
14	в том что	16	3
15	в том виде	1	2
16	с тем и	2	2
17	еще только в	1	2
18	то же самое	1	2
19	сих пор еще	1	2
20	но все это	1	2
21	потому что и	2	2
22	в этом отношении	2	2
23	заключает в себе	5	2
24	но вместе с	2	2
25	таким образом в	1	2
26	то же время	5	2
27	ничего общего с	1	2
28	можно сказать что	2	2
29	на то что	1	2
30	в то же	5	2
31	не к одному	1	1
32	а между тем	2	1
33	следует заметить что	1	1
34	притом не только	1	1
35	по отношению к	5	1
36	одной из этих	1	1
37	в самом деле	1	1
38	язык в том	1	1
39	в таком случае	2	1
40	к этому что	1	1
41	сами по себе	1	1
42	что все эти	1	1
43	и конечно не	1	1
44	а вместе с	1	1
45	на каждом шагу	1	1
46	от них в	1	1
47	с ними в	1	1
48	к мысли о	1	1
49	из этих слов	2	1
50	те же что	1	1
51	только в силу	1	1
52	ясно что и	1	1
53	ни с одним	1	1
54	в данном случае	1	1
55	в первом случае	2	1
56	смысле этого слова	7	1
57	мы видели выше	1	1
58	или по крайней	1	1
59	потому что в	1	1
60	не в том	5	1
61	с нашей точки	1	1
62	а не как	1	1
63	из них не	1	1
64	не только от	1	1
65	один из этих	1	1
66	что касается до	1	1
67	с другой стороны	4	1
68	один и тот	1	1
69	что оно имеет	1	1
70	а в том	5	1
71	только то что	1	1
72	у него в	1	1
73	и в новом	1	1
74	не может быть	3	1
75	что даже в	1	1
76	в общих чертах	1	1
77	может и не	1	1
78	но тем не	2	1
79	что происходит в	1	1
80	по всей вероятности	1	1
81	в то время	4	1
82	так и в	2	1
83	в свою очередь	3	1
84	в этом последнем	2	1
85	тем и другим	1	1
86	в очень редких	1	1
87	не только не	2	1
88	в связь с	1	1
89	не менее совершенно	1	1
90	но и от	1	1
91	же что и	1	1
92	после того как	1	1
93	при таких условиях	1	1
94	тем что в	1	1
95	как на нечто	1	1
96	в себе не	2	1
97	что и в	3	1
98	могло бы быть	1	1
99	только тогда когда	7	1
100	именно потому что	1	1
101	жизни с тем	1	1
102	и тот же	1	1
