N	3gram	Nazirov_Vr_1	Formalny
1	с точки зрения	2	13
2	то же время	4	8
3	в то же	4	8
4	до сих пор	1	6
5	в свою очередь	1	6
6	не может быть	2	5
7	во всяком случае	1	4
8	может быть и	1	3
9	и не может	1	2
10	но в то	2	2
11	и в этом	1	2
12	в связи с	3	2
13	связи с этим	1	2
14	не только не	1	2
15	это то что	1	1
16	между прочим и	1	1
17	же время и	1	1
18	в этом смысле	1	1
19	в литературной среде	1	1
20	в том что	2	1
21	в этом отношении	1	1
22	в это время	1	1
23	в высшей степени	1	1
24	и в то	1	1
25	все же в	1	1
26	с другой стороны	1	1
27	так же как	1	1
28	в той же	1	1
29	не с точки	1	1
30	заключается в том	1	1
31	а с точки	1	1
32	тем не менее	1	1
33	в литературе и	1	1
