N	2gram	Tiupa_Narr_1	Freidism
1	таким образом	1	24
2	и не	20	23
3	не может	10	20
4	точки зрения	10	19
5	прежде всего	4	18
6	в этом	17	15
7	в его	9	15
8	и пр	1	15
9	мы можем	1	13
10	может быть	25	13
11	и его	5	12
12	все эти	2	11
13	как и	7	11
14	с точки	2	11
15	как бы	4	11
16	то что	11	11
17	самом деле	2	10
18	но в	6	10
19	его в	2	10
20	с ним	1	10
21	как мы	3	10
22	так и	9	10
23	и потому	2	10
24	с его	6	9
25	во всех	1	9
26	по отношению	7	9
27	и в	19	9
28	то же	4	8
29	не только	32	8
30	он не	3	8
31	еще не	7	8
32	оно и	1	8
33	что он	6	8
34	только в	4	8
35	и все	2	8
36	отношению к	6	8
37	в самом	1	7
38	мы уже	1	7
39	отношение к	2	7
40	и наконец	1	7
41	ни в	3	7
42	мы видели	1	7
43	те же	4	7
44	к нему	5	7
45	один из	3	7
46	тот же	1	7
47	сказать что	4	7
48	в ней	3	6
49	все те	4	6
50	так сказать	1	6
51	и с	4	6
52	на протяжении	6	6
53	и ее	2	6
54	точку зрения	4	6
55	того что	1	6
56	для него	2	6
57	вовсе не	1	6
58	никогда не	3	6
59	хотя бы	4	6
60	совершенно не	2	6
61	на самом	1	5
62	и на	3	5
63	он сам	2	5
64	в чем	1	5
65	и к	1	5
66	в этой	5	5
67	не в	14	5
68	в то	3	5
69	могут быть	3	5
70	в себя	6	5
71	можно сказать	5	5
72	во внешнем	2	5
73	и прежде	1	5
74	а в	11	5
75	но и	23	5
76	связь с	1	5
77	его жизни	2	5
78	в свою	3	5
79	что в	3	5
80	и за	1	4
81	мы не	1	4
82	говорить о	2	4
83	совсем не	1	4
84	но не	5	4
85	в собственном	2	4
86	все же	7	4
87	не было	2	4
88	из этих	3	4
89	в пределах	2	4
90	в нем	4	4
91	на этом	1	4
92	то ни	3	4
93	при этом	9	4
94	об этом	1	4
95	с другими	1	4
96	не менее	3	4
97	в основе	5	4
98	же время	4	4
99	потому что	1	4
100	и для	2	4
101	к тому	7	4
102	данном случае	4	4
103	сводится к	3	4
104	с ними	1	4
105	уже не	5	4
106	не дает	1	4
107	в котором	1	4
108	как раз	2	4
109	от того	1	4
110	и др	2	4
111	себя и	2	4
112	в данном	5	4
113	в мир	1	4
114	в следующей	1	4
115	между ними	2	4
116	в таком	2	4
