N	2gram	Medvedev_V_1	Hudozhes
1	том что	2	16
2	и в	2	14
3	в том	2	12
4	в этом	1	11
5	то же	1	9
6	именно в	1	7
7	самом деле	1	5
8	и его	1	5
9	потому что	1	5
10	только в	1	5
11	в частности	1	5
12	столь же	1	4
13	а только	1	4
14	в самом	1	4
15	в конце	2	4
16	говоря о	1	2
17	в их	1	2
18	так в	1	2
19	значительной степени	1	2
20	в другом	1	2
21	ясно что	1	2
22	теории литературы	1	2
23	все это	1	2
24	в значительной	1	2
25	да и	1	2
26	и не	1	2
27	ни к	1	2
28	и то	1	1
29	я не	1	1
30	хотя бы	1	1
31	время в	1	1
32	прозы в	1	1
33	к чему	1	1
34	главным образом	1	1
35	для них	1	1
36	далеко не	1	1
37	в которых	1	1
38	не будем	1	1
39	так как	1	1
40	собр соч	1	1
41	дело в	1	1
42	сколь и	1	1
43	других и	1	1
44	даже не	1	1
45	все дело	1	1
46	сводится к	1	1
47	и т.д	1	1
48	на одном	1	1
49	и только	1	1
50	жизнь их	1	1
51	то чего	1	1
52	их как	1	1
53	по своим	1	1
54	но это	1	1
55	собственно и	1	1
56	тем более	1	1
57	конце концов	2	1
58	стоял и	1	1
