N	2gram	Vygotskiy__2	Istorich
1	и в	15	24
2	не только	15	21
3	что он	12	21
4	может быть	9	14
5	не может	9	14
6	что в	14	13
7	в этих	2	13
8	мы имеем	3	12
9	как в	4	12
10	в этом	19	12
11	в ином	2	12
12	и здесь	1	12
13	но и	10	11
14	это не	5	10
15	том что	27	10
16	и что	8	10
17	у него	2	10
18	мы видим	4	10
19	а в	4	10
20	все же	4	9
21	с другой	6	9
22	не в	8	9
23	о том	9	9
24	потому что	7	9
25	то же	5	8
26	показывает что	1	8
27	что и	2	8
28	так как	4	8
29	другой стороны	1	8
30	а не	3	8
31	все это	4	8
32	или в	3	8
33	во всех	2	7
34	то что	20	7
35	таким образом	14	7
36	мы видели	6	7
37	одна из	1	7
38	с собой	3	7
39	к нему	1	7
40	что здесь	2	7
41	один из	1	7
42	в том	33	7
43	вместе с	6	7
44	он показывает	2	6
45	что это	6	6
46	но не	3	6
47	как он	6	6
48	в нем	1	6
49	он не	7	6
50	об этом	3	6
51	как и	6	6
52	уже выше	1	6
53	для нас	4	6
54	и все	3	6
55	показывают что	1	6
56	а именно	1	6
57	того что	17	6
58	только в	4	6
59	ответ на	1	6
60	тем что	2	6
61	так же	4	6
62	с этой	2	6
63	во время	3	6
64	мы увидим	2	6
65	то это	1	5
66	в чем	1	5
67	с одной	7	5
68	но в	6	5
69	имеем в	1	5
70	что она	3	5
71	здесь мы	1	5
72	с ним	3	5
73	дело не	1	5
74	ничего не	3	5
75	так и	8	5
76	представление об	1	5
77	одной стороны	7	5
78	там где	6	5
79	в тех	1	5
80	же как	2	4
81	мы уже	6	4
82	мы не	10	4
83	представляет собой	2	4
84	как бы	7	4
85	при этом	3	4
86	что задача	1	4
87	мы можем	10	4
88	но все	2	4
89	не всегда	1	4
90	на первый	1	4
91	точки зрения	26	4
92	в их	2	4
93	по существу	5	4
94	не имеет	4	4
95	никогда не	8	4
96	в других	2	4
97	и говорит	1	4
98	что у	3	4
99	на вопрос	4	4
100	после того	1	4
101	то и	1	4
102	вовсе не	6	4
103	в данном	3	4
104	за него	1	4
105	и не	7	4
106	мы должны	6	4
107	одной из	3	4
108	видеть в	1	3
109	и он	1	3
110	с его	4	3
111	себе и	1	3
112	что они	3	3
113	к себе	2	3
114	когда он	3	3
115	и наконец	1	3
116	из этих	4	3
