N	2gram	Voloshinov_1	Russkaja
1	не может	24	22
2	и не	26	19
3	в том	6	17
4	в этом	16	17
5	и в	19	14
6	с другом	1	14
7	друг с	1	14
8	то что	8	13
9	то же	7	11
10	точки зрения	34	11
11	таким образом	17	11
12	в то	3	10
13	же время	3	10
14	но и	8	10
15	в себе	2	9
16	не только	8	9
17	том что	3	9
18	с точки	20	9
19	может быть	26	9
20	во всяком	5	9
21	того чтобы	5	8
22	прежде всего	13	8
23	самом деле	10	7
24	отнюдь не	6	7
25	и если	1	7
26	и с	2	7
27	в данном	4	7
28	к тому	2	7
29	не будет	4	7
30	о том	2	7
31	мы должны	3	7
32	ни к	2	7
33	в своем	2	6
34	и к	3	6
35	в россии	1	6
36	с тем	1	6
37	в своих	2	6
38	и при	3	6
39	если бы	2	6
40	все это	3	6
41	и для	11	6
42	для того	4	6
43	что он	2	6
44	всяком случае	2	6
45	для всех	2	6
46	для него	9	6
47	на самом	3	6
48	а между	1	5
49	вопрос о	4	5
50	и на	4	5
51	между собой	2	5
52	во всех	7	5
53	в нем	10	5
54	при этом	8	5
55	он не	3	5
56	было бы	4	5
57	в своей	3	5
58	никогда не	2	5
59	потому что	1	5
60	между тем	3	5
61	а потому	1	5
62	и только	2	5
63	только в	9	5
64	хотя бы	5	5
65	конечно не	5	5
66	или иной	3	5
67	до сих	8	5
68	себя и	1	5
69	из которых	2	5
70	по существу	1	5
71	сих пор	8	5
72	а в	4	5
73	жизни в	4	5
74	и то	1	4
75	бы то	8	4
76	но не	1	4
77	себе и	2	4
78	все же	8	4
79	более или	1	4
80	не в	5	4
81	в этой	1	4
82	в корне	3	4
83	то ни	8	4
84	в совершенно	1	4
85	его в	3	4
86	как и	12	4
87	или менее	1	4
88	точку зрения	2	4
89	тогда когда	1	4
90	от того	4	4
91	не могут	3	4
92	приводит к	1	4
93	можно было	2	4
94	и т.д	2	4
95	в его	6	4
96	так как	2	4
97	лишь к	1	4
98	со стороны	1	4
99	что же	4	4
100	как бы	15	4
101	возможно лишь	1	4
102	отказаться от	1	4
103	жизни и	2	4
104	что в	4	4
105	к этой	2	4
106	то в	2	3
107	и этот	2	3
108	так чтобы	1	3
109	говорить о	1	3
110	и ни	1	3
111	еще не	4	3
112	он сам	1	3
113	из этих	2	3
114	в самом	10	3
115	что это	1	3
116	главным образом	1	3
