N	3gram	Vygotskiy__2	Hudozhes
1	в том что	21	11
2	о том что	4	7
3	по отношению к	5	7
4	подобно тому как	2	4
5	с одной стороны	7	3
6	том что в	2	3
7	как и в	1	3
8	для того чтобы	10	3
9	в конечном счете	4	3
10	в самом деле	4	3
11	не может быть	6	3
12	так же как	1	2
13	не только не	1	2
14	к тому же	1	2
15	хотя бы и	2	2
16	же самое что	2	2
17	состоит в том	3	2
18	можно было бы	5	2
19	что она не	1	2
20	то же самое	2	2
21	только в том	1	2
22	с точки зрения	18	2
23	в данном случае	3	2
24	о том как	1	2
25	до сих пор	1	2
26	заключается в том	7	1
27	самим по себе	1	1
28	из этих двух	1	1
29	известно о двух	1	1
30	с самого начала	1	1
31	лежит в основе	3	1
32	казалось бы и	1	1
33	приводит к тому	1	1
34	в том числе	3	1
35	в том случае	1	1
36	самом деле не	1	1
37	бы то ни	1	1
38	точно так же	1	1
39	но ведь это	1	1
40	случае если бы	1	1
41	однако и здесь	1	1
42	более глубокое и	1	1
43	именно потому что	1	1
44	в своей жизни	1	1
45	можно сказать что	1	1
46	в нем своего	1	1
47	в один ряд	1	1
48	только для того	1	1
49	а с другой	4	1
50	сводится к тому	1	1
51	что он не	2	1
52	то и другое	1	1
53	том случае если	1	1
54	и т.п в	1	1
55	тот или иной	1	1
56	и не то	1	1
57	и то что	1	1
58	все та же	1	1
59	что она при	1	1
60	в этом отношении	3	1
61	той или иной	1	1
62	и в самом	2	1
63	принадлежит к числу	1	1
64	один ряд с	1	1
65	не для себя	1	1
66	по сути дела	1	1
67	того факта что	1	1
68	и в конечном	1	1
69	после того как	1	1
70	едва ли может	1	1
71	мы стремились показать	1	1
72	стремились показать что	1	1
73	не следует что	1	1
74	при этом он	1	1
75	у него в	1	1
76	отношению к личности	1	1
77	с другой стороны	1	1
78	дело в том	1	1
79	на том что	2	1
80	и все же	1	1
81	друг от друга	2	1
82	к себе и	1	1
83	более и более	1	1
84	все более и	1	1
85	том числе и	3	1
86	это было бы	1	1
87	перед нами в	1	1
