N	2gram	Tiupa_Vved_1	RusskieA
1	и в	13	36
2	не только	20	22
3	том что	7	19
4	что в	3	19
5	в том	10	17
6	но и	19	16
7	во время	1	14
8	в этом	21	12
9	и на	3	10
10	в этот	2	10
11	это не	6	10
12	как и	11	10
13	как мы	3	10
14	вместе с	1	10
15	потому что	5	10
16	об этом	4	9
17	а в	6	9
18	состоит в	10	8
19	и по	3	8
20	с тем	1	8
21	у нас	1	8
22	о том	5	8
23	один из	3	8
24	мы увидим	1	8
25	из них	1	8
26	может быть	18	8
27	как это	1	8
28	что они	1	7
29	так и	8	7
30	между тем	1	7
31	что и	2	7
32	представляют собой	3	7
33	полагает что	1	6
34	мы не	4	6
35	в виде	1	6
36	так например	1	6
37	таким образом	4	6
38	при этом	26	6
39	видно что	1	6
40	не имеет	2	6
41	уже не	5	6
42	в них	2	6
43	и не	12	6
44	все это	1	6
45	для нас	2	6
46	будто бы	3	6
47	то что	6	6
48	как в	4	5
49	все же	6	5
50	в которых	1	5
51	того как	1	5
52	как будто	4	5
53	и у	1	5
54	в течение	1	5
55	как бы	4	5
56	этом случае	1	5
57	мы имеем	5	4
58	не совсем	1	4
59	еще не	7	4
60	во всех	2	4
61	представляет собой	15	4
62	с собой	1	4
63	входит в	1	4
64	из этих	3	4
65	в их	1	4
66	тому что	1	4
67	вплоть до	1	4
68	одна из	4	4
69	связи с	1	4
70	что на	2	4
71	к тому	6	4
72	его с	2	4
73	так в	4	4
74	еще в	2	4
75	и что	1	4
76	и их	1	4
77	тем что	2	4
78	а с	2	4
79	и др	1	4
80	того что	6	4
81	но это	3	4
82	в связи	1	4
83	как уже	1	4
84	не может	7	4
85	только в	6	4
86	к этому	2	4
87	увидим ниже	1	3
88	как правило	6	3
89	своего рода	10	3
90	если в	2	3
91	которые не	1	3
92	в своем	5	3
93	не можем	2	3
94	что это	1	3
95	на этом	1	3
96	то же	5	3
97	для них	3	3
98	далеко не	4	3
99	несмотря на	1	3
100	в москве	1	3
101	в этих	3	3
102	точки зрения	1	3
103	тем не	3	3
104	но они	2	3
105	их в	2	3
106	не менее	4	3
107	этого обряда	1	3
108	в разных	1	3
109	в поле	1	3
110	приводит к	2	3
111	не с	3	3
112	начиная с	3	3
113	то есть	8	3
114	настоящее время	1	3
115	а также	8	3
116	от них	1	3
117	также в	1	3
118	в качестве	8	3
119	только на	1	3
120	слова в	2	3
121	в одном	1	3
122	к ним	2	3
123	в области	3	3
124	на этот	1	3
125	о чем	2	3
126	так называемой	1	3
127	так же	1	3
128	в настоящее	1	3
129	в целях	1	3
130	и к	2	3
131	в свою	4	3
132	но эти	1	3
133	как известно	1	2
134	например в	2	2
135	которого в	1	2
136	е годы	1	2
137	переход от	1	2
138	между двумя	3	2
139	в доме	1	2
140	но она	1	2
141	что иное	1	2
142	на себя	1	2
143	это время	2	2
144	в ней	4	2
145	иное как	1	2
146	природы и	1	2
147	на самом	4	2
148	но не	5	2
149	к слову	1	2
150	тогда как	10	2
151	в е	2	2
152	отнюдь не	7	2
153	как по	2	2
154	мы можем	2	2
155	хотя и	7	2
156	но в	6	2
157	та же	1	2
158	в целом	3	2
159	все эти	1	2
160	в нашем	6	2
161	и до	1	2
162	как он	2	2
163	что она	1	2
164	в нем	5	2
165	всех этих	1	2
166	в силу	2	2
167	же не	1	2
168	и с	2	2
169	в жизни	4	2
170	говорится о	1	2
171	чтобы они	1	2
172	далее в	1	2
173	должны были	2	2
174	и более	3	2
175	том же	1	2
176	с четырьмя	1	2
177	у него	1	2
178	судя по	2	2
179	встречаются в	1	2
180	так называемый	1	2
181	а мы	1	2
182	могут быть	4	2
183	и другим	1	2
184	имеет место	4	2
185	свою очередь	4	2
186	что у	1	2
187	к празднику	1	2
188	с ним	3	2
189	в его	4	2
190	в какой	4	2
191	в разные	1	2
192	этого дня	1	2
193	их не	1	2
194	так что	1	2
195	его и	1	2
196	тут же	1	2
197	не было	2	2
198	в особенности	1	2
199	равной степени	1	2
200	только по	1	2
201	до конца	3	2
202	не на	1	2
203	а не	15	2
204	сближает его	1	2
205	в частности	13	2
206	в равной	1	2
207	и потому	1	2
208	только часть	1	2
209	предположить что	1	2
210	быть и	2	2
211	между прочим	1	2
212	между собой	2	2
213	мы видим	1	2
214	и для	3	2
215	или в	1	2
216	интерес к	1	2
217	мы должны	1	2
218	не что	1	2
219	в своих	2	2
220	границы между	2	1
221	также и	4	1
222	о каких	1	1
223	таком случае	1	1
224	рассматривается как	1	1
225	самом деле	3	1
226	значении этого	1	1
227	тех же	1	1
228	зависимости от	1	1
229	в приведенном	2	1
230	в первом	2	1
231	и ее	1	1
232	противном случае	1	1
233	должна быть	2	1
234	состояла в	1	1
235	из всех	1	1
236	в несколько	1	1
237	к новой	1	1
238	вторая часть	1	1
239	на глазах	1	1
240	говорить о	2	1
241	не вполне	3	1
242	похожи на	1	1
243	того же	1	1
244	и он	1	1
245	в каждой	1	1
246	в отличие	2	1
247	истории в	5	1
248	этих случаях	2	1
249	собой очень	1	1
250	на основе	1	1
251	а только	1	1
252	оно в	1	1
253	же она	1	1
254	не все	2	1
255	ответ на	1	1
256	по отношению	7	1
257	отличие от	2	1
258	относится к	1	1
259	в истории	1	1
260	и соответствующих	1	1
261	его на	1	1
262	так называемая	1	1
263	что касается	5	1
264	однако не	1	1
265	в противном	1	1
266	перед нами	6	1
267	целый ряд	2	1
268	и наконец	2	1
269	тем же	1	1
270	поэтому и	1	1
271	из жизни	2	1
272	в час	1	1
273	ни одна	1	1
