N	4gram	Potebnia_M_4	KulturaY
1	по мере того как	4	3
2	одного и того же	1	2
3	в силу того что	1	2
4	обратить внимание на то	2	2
5	заключается в том что	1	2
6	в то же время	3	2
7	именно в том и	1	2
8	а в том что	1	2
9	и во многих других	1	1
10	следует обратить внимание на	1	1
11	чтобы ответить на этот	1	1
12	и т п и	1	1
13	ответить на этот вопрос	1	1
14	вовсе не то что	1	1
15	не что иное как	2	1
16	то это потому что	1	1
17	в том случае если	1	1
18	и вместе с тем	1	1
19	что же касается до	1	1
20	не в том что	1	1
21	не обратив внимания на	1	1
22	только о том что	1	1
23	в том смысле что	1	1
24	на том основании что	1	1
25	можно говорить о языке	1	1
26	именно в силу того	1	1
