N	3gram	Bakhtin_sl_2	KulturaY
1	и т п	33	18
2	для того чтобы	2	15
3	в том что	4	15
4	и т д	2	14
5	с точки зрения	3	9
6	по отношению к	4	8
7	с другой стороны	1	6
8	о том что	1	5
9	в зависимости от	4	5
10	в этом отношении	3	5
11	во всяком случае	2	5
12	до сих пор	2	4
13	том что он	1	4
14	в русском языке	1	4
15	тем не менее	1	4
16	более или менее	2	3
17	того или иного	1	3
18	в связи с	2	3
19	в свою очередь	2	3
20	не может быть	15	3
21	все это не	1	3
22	на то что	1	2
23	в этом случае	6	2
24	рано или поздно	1	2
25	так и в	3	2
26	именно в том	1	2
27	а в том	1	2
28	то же время	4	2
29	несколько слов о	2	2
30	хотя бы и	2	2
31	речь идет о	1	2
32	но все же	4	2
33	в то же	4	2
34	мы увидим что	1	2
35	том что оно	1	2
36	в данном языке	1	1
37	том что она	1	1
38	но прежде всего	2	1
39	и может быть	1	1
40	кроме того еще	1	1
41	как например в	1	1
42	язык в его	1	1
43	на данном языке	1	1
44	в какой мере	1	1
45	иметь в виду	1	1
46	и в смысле	1	1
47	но и более	1	1
48	и в особенности	2	1
49	свое выражение в	1	1
50	и там где	3	1
51	т п наконец	1	1
52	с одной стороны	5	1
53	и в той	1	1
54	и в то	1	1
55	сами по себе	1	1
56	в действии и	1	1
57	в отличие от	12	1
58	особенно важное значение	1	1
59	лишь тогда когда	2	1
60	мы говорим о	1	1
61	конкретное содержание этой	1	1
62	в собственном смысле	3	1
63	и говорит и	1	1
64	т п например	1	1
65	только в более	1	1
66	т п все	3	1
67	со словом как	1	1
68	и не в	1	1
69	в применении к	1	1
70	бы и не	1	1
71	до конца и	1	1
72	жизни в его	1	1
73	xix века это	1	1
74	не только в	2	1
75	приходится иметь дело	2	1
76	неразрывно связан с	2	1
77	тех или иных	1	1
78	связанная с ним	1	1
79	всех этих случаях	1	1
80	в письменной речи	1	1
81	во всех этих	1	1
82	но в нем	1	1
83	к своему предмету	5	1
84	это не значит	1	1
85	а вовсе не	2	1
86	если они не	1	1
87	не для того	1	1
88	значение и в	1	1
89	те или иные	1	1
90	себя и для	1	1
91	при этом на	1	1
92	вместе с ним	1	1
93	не в качестве	1	1
94	между тем как	1	1
95	с помощью самого	1	1
96	и с ним	1	1
97	вовсе не в	1	1
98	в соединении с	1	1
99	в этих областях	1	1
100	обстоит дело в	1	1
101	языка как такового	1	1
102	той или иной	5	1
103	не с одним	1	1
104	в этих случаях	1	1
105	в большинстве случаев	5	1
106	таким образом в	1	1
107	язык в этом	1	1
108	в них не	1	1
109	все то что	1	1
110	может быть очень	3	1
111	не выходят за	1	1
112	для этого необходимо	1	1
113	свой предмет как	1	1
