N	2gram	Vinokur_Vv_1	formyVre
1	и в	27	50
2	в этом	34	25
3	в греческом	1	24
4	в нем	13	24
5	в литературе	1	16
6	и его	5	16
7	прежде всего	8	15
8	и не	13	14
9	как мы	9	14
10	вовсе не	6	13
11	как раз	4	13
12	в его	10	13
13	так и	1	12
14	по существу	2	12
15	таким образом	19	11
16	человека и	1	11
17	мы уже	1	11
18	то же	8	11
19	может быть	24	11
20	времени и	4	10
21	но в	10	10
22	и как	9	10
23	все эти	3	9
24	же время	5	9
25	и др	2	9
26	в конце	3	9
27	в том	31	9
28	в то	5	9
29	ничего не	2	9
30	в особенности	4	9
31	не только	21	9
32	как и	5	8
33	жизни и	2	8
34	того же	3	8
35	т п	5	8
36	и т	43	8
37	но и	5	8
38	в самом	12	8
39	и на	3	8
40	не было	1	7
41	так сказать	1	7
42	для себя	1	7
43	времени в	3	7
44	все же	8	6
45	и того	2	6
46	в частности	3	6
47	не может	13	6
48	так же	3	6
49	связи с	3	6
50	и все	1	6
51	в жизни	1	6
52	во всех	2	6
53	в их	11	6
54	время в	2	6
55	в ее	11	6
56	например в	2	6
57	это не	8	6
58	то что	17	6
59	в дальнейшем	2	6
60	лишь в	1	6
61	с этим	2	6
62	у него	1	6
63	в результате	3	6
64	как в	1	6
65	так как	13	6
66	еще не	4	5
67	в связи	2	5
68	точки зрения	7	5
69	в разных	5	5
70	отношению к	4	5
71	не в	8	5
72	и другие	1	5
73	того чтобы	21	5
74	но не	7	5
75	одного и	2	5
76	что в	11	5
77	этот процесс	3	5
78	до нас	3	5
79	этого типа	1	5
80	но все	3	5
81	для того	21	5
82	не могло	1	5
83	наряду с	2	5
84	если бы	2	5
85	могут быть	4	5
86	значение в	2	5
87	и у	1	5
88	и речи	1	5
89	и до	2	5
90	и с	2	4
91	здесь не	2	4
92	и для	4	4
93	в котором	4	4
94	кроме того	1	4
95	или как	3	4
96	и т.п	1	4
97	раз в	1	4
98	между собой	1	4
99	потому что	14	4
100	на этой	3	4
101	в той	7	4
102	жизнь и	1	4
103	себе самому	1	4
104	именно как	3	4
105	до конца	3	4
106	только в	13	4
107	в них	4	4
108	время и	1	4
109	не имеет	4	4
110	могло быть	1	4
111	все это	6	4
112	в ней	3	4
113	понятно что	3	4
114	и то	5	4
115	и это	6	4
116	том что	26	4
117	в своем	3	4
118	в себе	4	3
119	в форме	2	3
120	одно и	1	3
121	во всяком	3	3
122	входит в	2	3
123	в одно	1	3
124	или в	1	3
125	в качестве	7	3
126	значение и	2	3
127	этом отношении	3	3
128	при этом	3	3
129	же в	1	3
130	и ее	4	3
131	для них	1	3
132	что не	5	3
133	есть не	3	3
134	и разновидности	1	3
135	к концу	1	3
136	искусстве и	1	3
137	сих пор	5	3
138	до сих	5	3
139	с другими	1	3
140	вследствие этого	1	3
141	и те	2	3
142	нем не	1	3
143	мира в	1	3
144	более того	1	3
145	с тем	6	3
146	в одном	4	3
147	одно из	5	3
148	его в	6	3
149	одной из	3	3
150	всего того	2	3
151	между ними	2	3
152	отношения к	1	3
153	в начале	3	3
154	мы не	2	3
155	к тому	4	3
156	что и	3	3
157	еще более	1	3
158	хотя и	3	3
159	и других	3	3
160	в этих	3	3
161	и уже	3	3
162	вместе с	6	3
163	по отношению	4	3
164	а как	3	3
165	они не	1	3
166	сказать что	5	3
167	в отношении	2	3
168	в определенном	1	3
169	здесь нет	4	3
170	в сущности	3	3
171	только на	3	3
172	один из	6	3
173	себе и	2	3
174	человек в	1	3
175	именно в	8	3
