N	3gram	Tiupa_Hudo_1	SlovoVZh
1	по отношению к	8	11
2	не может быть	2	7
3	в том что	6	4
4	и по отношению	1	3
5	тем не менее	3	3
6	этой точки зрения	1	3
7	до сих пор	2	3
8	в такой же	2	2
9	на самом деле	1	2
10	то же самое	1	2
11	одной стороны и	1	2
12	с точки зрения	3	2
13	до известной степени	1	2
14	автора и героя	1	2
15	в этих двух	1	2
16	в данном случае	1	2
17	формы и содержания	1	2
18	с одной стороны	1	2
19	том что в	2	1
20	но все же	1	1
21	а между тем	1	1
22	и в этом	1	1
23	автора героя и	2	1
24	и его в	1	1
25	становится только в	1	1
26	в чем не	1	1
27	все же не	1	1
28	уже не может	1	1
29	более или менее	1	1
30	в науке о	1	1
31	во всяком случае	1	1
32	этими словами и	1	1
33	одна и та	1	1
34	и она не	1	1
35	в самом деле	4	1
36	в этом смысле	1	1
37	самом же деле	1	1
38	с ним в	1	1
39	самом деле в	2	1
40	же как и	1	1
41	ни в чем	1	1
42	сами по себе	1	1
43	то что мы	1	1
44	в свою очередь	1	1
45	же время не	1	1
46	и та же	1	1
47	на самом же	1	1
48	о том что	9	1
49	ничего общего с	1	1
50	в этом отношении	3	1
51	от породившей его	1	1
52	она в самом	1	1
53	с самого начала	1	1
54	никогда не бывает	1	1
55	то что я	1	1
56	в конечном счете	2	1
57	можно было бы	4	1
58	является для него	1	1
59	если бы не	1	1
60	отношения между людьми	1	1
61	то же время	8	1
62	в русской литературе	3	1
63	отношению к содержанию	1	1
64	может быть только	1	1
65	в то же	8	1
66	в том и	1	1
67	в значительной степени	2	1
68	она не может	1	1
69	как и в	3	1
70	но в то	3	1
71	это прежде всего	2	1
72	в высшей степени	1	1
