N	3gram	Vygotskiy__2	Otkroven
1	у него в	1	5
2	для того чтобы	10	3
3	что же это	1	2
4	это было бы	1	2
5	не может быть	6	2
6	как и все	1	2
7	не могут быть	1	2
8	с тем что	1	2
9	ни у кого	1	2
10	он прежде всего	1	2
11	смысле этого слова	3	1
12	в другом месте	2	1
13	по сравнению с	5	1
14	не в том	1	1
15	том что в	2	1
16	друг к другу	1	1
17	в самом деле	4	1
18	в совершенно ином	1	1
19	о том как	1	1
20	к чему бы	1	1
21	с вопросом о	1	1
22	все та же	1	1
23	и все же	1	1
24	во всяком случае	6	1
25	том случае если	1	1
26	сам по себе	1	1
27	само по себе	2	1
28	после того как	1	1
29	о том что	4	1
30	в этом отношении	3	1
31	то что в	1	1
32	и в самом	2	1
33	но никогда не	1	1
34	в том что	21	1
35	на то что	6	1
36	в самой природе	1	1
37	в том случае	1	1
38	и то что	1	1
39	друг с другом	2	1
40	у кого не	1	1
41	вместо того чтобы	1	1
42	как и в	1	1
