N	2gram	Medvedev_S_1	Tragedij
1	и в	3	18
2	в этом	5	9
3	не только	3	8
4	может быть	2	7
5	как бы	2	7
6	и не	1	7
7	и его	1	6
8	же время	1	6
9	что он	1	6
10	у него	1	6
11	то же	2	5
12	все же	1	5
13	что это	1	5
14	это не	1	5
15	как и	1	5
16	в то	1	5
17	так и	1	5
18	не может	1	5
19	еще не	2	4
20	в целом	1	4
21	в этой	1	4
22	том что	2	4
23	и что	2	4
24	но и	2	4
25	прежде всего	1	4
26	все это	7	4
27	что в	2	4
28	то что	2	4
29	в мире	1	3
30	отнюдь не	1	3
31	и как	1	3
32	все эти	1	3
33	с ним	1	3
34	в его	3	3
35	один из	1	3
36	в конце	2	3
37	как будто	2	3
38	вряд ли	1	2
39	что эти	1	2
40	никогда не	1	2
41	столь же	1	2
42	перед нами	1	2
43	что она	1	2
44	что все	1	2
45	его в	1	2
46	не в	3	2
47	ничего не	1	2
48	о том	1	2
49	в том	5	2
50	в виде	1	2
51	тем что	1	2
52	как же	3	2
53	в данном	1	2
54	она должна	1	2
55	в частности	2	2
56	я и	1	1
57	а между	1	1
58	это и	2	1
59	же по	1	1
60	и есть	1	1
61	должна быть	2	1
62	не способен	1	1
63	литературы и	2	1
64	между собой	1	1
65	это же	1	1
66	в чем	1	1
67	не исчерпываются	1	1
68	но не	1	1
69	но как	1	1
70	за пределы	2	1
71	и наконец	1	1
72	опирающаяся на	1	1
73	право на	1	1
74	что без	1	1
75	идей и	2	1
76	перенес в	1	1
77	и по	1	1
78	таким образом	2	1
79	же не	1	1
80	на все	1	1
81	быть не	1	1
82	в них	1	1
83	со своими	1	1
84	в своей	1	1
85	как искусство	1	1
86	в котором	1	1
87	стало быть	1	1
88	по себе	1	1
89	тому что	1	1
90	тогда и	1	1
91	но только	1	1
92	для нас	3	1
93	связи с	1	1
94	что на	1	1
95	в области	1	1
96	литературы на	1	1
97	и о	1	1
98	по природе	2	1
99	и должно	1	1
100	это происходит	1	1
101	мы понимаем	1	1
102	связь между	1	1
103	между тем	1	1
104	его собственная	1	1
105	только в	2	1
106	с одной	1	1
107	именно на	1	1
108	это неизбежно	1	1
109	всяком случае	1	1
110	это по	1	1
111	даже не	1	1
112	именно в	1	1
113	не было	1	1
114	на этот	1	1
115	в связи	1	1
116	с помощью	1	1
117	более чем	3	1
118	и потому	1	1
119	не из	1	1
120	голова его	1	1
121	в результате	2	1
122	именно такого	1	1
123	это как	1	1
124	из себя	1	1
125	бы в	1	1
126	и темы	1	1
127	конце концов	2	1
128	хотя бы	1	1
129	из тех	1	1
130	во всяком	1	1
