N	2gram	Tiupa_Teor_1	Problemy
1	и не	13	31
2	и в	18	29
3	в его	6	24
4	может быть	17	24
5	в этом	8	22
6	а не	9	22
7	в нем	4	19
8	точки зрения	9	19
9	как бы	5	19
10	для него	2	18
11	не только	16	15
12	то что	3	15
13	то же	7	14
14	и его	8	14
15	рядом с	1	14
16	но и	9	14
17	в пределах	5	13
18	с точки	3	13
19	уже не	4	13
20	таким образом	3	12
21	как и	4	12
22	не может	4	12
23	о себе	2	12
24	в самом	4	10
25	этом смысле	2	10
26	в то	6	10
27	только в	6	10
28	в одном	2	10
29	героя и	5	10
30	все эти	2	9
31	с его	5	9
32	это не	2	9
33	если бы	3	9
34	себе самом	1	9
35	же время	5	9
36	но не	9	9
37	в романе	3	9
38	по отношению	4	8
39	что в	9	8
40	по себе	1	8
41	в каждом	1	8
42	в том	16	8
43	что он	1	8
44	потому что	3	8
45	в своем	4	8
46	в своей	6	8
47	отношению к	4	8
48	и на	1	7
49	за пределы	2	7
50	и как	2	7
51	но в	9	7
52	в себе	9	7
53	входит в	1	7
54	с другими	5	7
55	том что	9	7
56	не в	7	7
57	вовсе не	3	7
58	она не	1	7
59	так и	10	7
60	в форме	2	7
61	романе достоевского	1	7
62	прежде всего	2	7
63	мира и	1	7
64	а в	13	7
65	одним из	2	6
66	так же	2	6
67	в одной	1	6
68	как в	5	6
69	сливается с	1	6
70	в целом	3	6
71	что она	2	6
72	в мире	19	6
73	его в	2	6
74	в самой	2	6
75	могут быть	4	6
76	к нему	1	6
77	на мир	1	6
78	в единстве	1	6
79	этого мира	1	6
80	в конце	2	6
81	так как	1	6
82	как раз	2	6
83	и потому	2	6
84	не могут	2	6
85	все это	2	6
86	о мире	1	6
87	той же	1	5
88	у него	1	5
89	с их	2	5
90	перед нами	2	5
91	он не	3	5
92	было бы	1	5
93	автора и	1	5
94	не становится	1	5
95	художественного мира	2	5
96	в сущности	1	5
97	и это	2	5
98	и о	4	5
99	еще не	4	5
100	между тем	5	5
101	в драме	1	5
102	именно в	3	5
103	и др	1	5
104	более того	1	5
105	мира в	1	5
106	героя не	1	5
107	ивана карамазова	1	4
108	идет о	1	4
109	тем как	1	4
110	в этой	3	4
111	авторского замысла	1	4
112	должно быть	1	4
113	но эта	1	4
114	их в	3	4
115	даже в	3	4
116	как мы	1	4
117	в основе	3	4
118	личности в	3	4
119	все то	1	4
120	в произведении	3	4
121	в плоскости	1	4
122	но у	1	4
123	в литературе	2	4
124	тем что	1	4
125	что и	2	4
126	героя о	1	4
127	превращается в	2	4
128	не было	1	4
129	не на	2	4
130	и для	2	4
131	в результате	1	4
132	они не	1	4
133	отношения к	2	3
134	отношении к	2	3
135	например в	1	3
136	не во	1	3
137	я не	2	3
138	героев в	1	3
139	он в	1	3
140	не входит	1	3
141	в произведениях	2	3
142	в художественном	3	3
143	и до	1	3
144	ее как	1	3
145	порядка в	4	3
146	но именно	1	3
147	подобно тому	1	3
148	на почве	4	3
149	внешнего мира	2	3
150	далеко не	2	3
151	художественного творчества	1	3
152	в их	2	3
153	вопрос кто	1	3
154	тому что	2	3
155	мире в	1	3
156	на котором	1	3
157	героев и	1	3
158	никогда не	4	3
159	как будто	2	3
160	отличается от	2	3
161	оно не	1	3
162	только то	1	3
163	в себя	3	3
164	приводит к	5	3
165	и здесь	2	3
166	с другой	7	3
167	в них	2	3
168	ним и	1	3
169	в другой	1	3
170	художественном мире	1	3
171	но с	1	3
172	но как	1	3
173	во времени	3	3
174	от автора	1	3
175	ни в	2	3
176	точек зрения	1	3
177	нового времени	3	3
178	целом ряде	1	3
179	тому как	1	3
180	в мир	1	3
181	по существу	1	3
182	как к	2	3
183	и слово	1	3
184	в пространстве	2	3
185	и одновременно	4	3
186	бы в	1	3
187	о своем	2	3
188	не знает	3	3
189	сказать что	3	3
190	другой стороны	5	3
191	была бы	3	3
192	таким же	1	3
193	в своих	1	3
194	все что	1	3
195	или к	1	2
196	к другому	1	2
197	по преимуществу	4	2
198	из его	1	2
199	в которой	2	2
200	вопрос о	1	2
201	совпадает с	3	2
202	на себя	2	2
203	бы то	1	2
204	для других	1	2
205	отношение к	5	2
206	так что	1	2
207	в той	2	2
208	могли бы	2	2
209	и к	3	2
210	в противоположность	2	2
211	плоскости их	1	2
212	момент его	1	2
213	всей его	1	2
214	вследствие этого	1	2
215	на его	1	2
216	он ни	1	2
217	материал его	1	2
218	ни были	1	2
219	ни был	2	2
220	здесь мы	1	2
221	то ни	1	2
222	также является	1	2
223	при этом	12	2
224	художественный образ	1	2
225	дело здесь	1	2
226	и несет	1	2
227	в жизни	2	2
228	в отношении	3	2
229	но он	3	2
230	друг другу	1	2
231	героя но	1	2
232	по ту	1	2
233	произведения в	1	2
234	однако в	7	2
235	зрения и	2	2
236	с которой	1	2
237	ту сторону	1	2
238	на себе	1	2
239	в структуре	2	2
240	жизни не	1	2
241	чем является	1	2
242	связи с	1	2
243	входят в	1	2
244	для себя	1	2
245	данном случае	5	2
