N	3gram	Losev_Prob_2	Stilisti
1	в то же	4	9
2	в зависимости от	1	7
3	для того чтобы	2	7
4	того или иного	5	5
5	и то же	1	4
6	то же самое	5	4
7	ту или иную	1	4
8	то что мы	7	4
9	с самого начала	2	4
10	той или иной	1	4
11	на самом деле	2	3
12	в этом случае	7	3
13	но и в	3	3
14	бы мы ни	1	3
15	то или иное	2	3
16	не только в	2	3
17	в конце концов	7	3
18	и тем самым	1	3
19	но все же	1	3
20	как мы уже	1	3
21	должны были бы	2	2
22	или хотя бы	2	2
23	и той же	2	2
24	и не только	1	2
25	речи то есть	1	2
26	и в то	1	2
27	вместе с тем	1	2
28	что язык не	1	2
29	в этом отношении	1	2
30	же самое время	4	2
31	тот или иной	4	2
32	только потому что	1	2
33	мы не знаем	1	2
34	как бы мы	1	2
35	на первый взгляд	1	2
36	все больше и	1	2
37	у нас не	2	2
38	не может быть	3	2
39	что же такое	4	2
40	есть не что	3	2
41	не что иное	3	2
42	связи с этим	2	2
43	в точном смысле	1	2
44	и тем же	1	2
45	о том что	14	2
46	что иное как	3	2
47	можно сказать что	3	2
48	больше и больше	1	2
49	в связи с	5	2
50	одной и той	2	2
51	что у нас	1	2
52	это же самое	1	1
53	что ведь и	1	1
54	представим себе что	2	1
55	мы уже отметили	1	1
56	было говорить о	3	1
57	все еще не	1	1
58	что такое язык	1	1
59	не является ни	1	1
60	как только мы	2	1
61	одним и тем	1	1
62	более или менее	4	1
63	не говоря уже	4	1
64	и нет ничего	1	1
65	же мы в	1	1
66	в самом деле	2	1
67	и в отношении	1	1
68	человеческая речь есть	1	1
69	не может обойтись	1	1
70	мы теперь должны	1	1
71	как раз и	4	1
72	тот же самый	1	1
73	до сих пор	4	1
74	нашего сознания и	2	1
75	котором мы говорили	1	1
76	и вообще не	1	1
77	в собственном смысле	1	1
78	можно было бы	2	1
79	с нашей точки	1	1
80	если мы прибавим	1	1
81	и здесь мы	2	1
82	по крайней мере	6	1
83	значением слова и	2	1
84	вместе с развитием	1	1
85	что же мы	1	1
86	ее можно было	1	1
87	но как же	1	1
88	говорить не о	1	1
89	хотя бы и	3	1
90	если мы возьмем	2	1
91	но не нужно	1	1
92	все что было	1	1
93	но мы можем	1	1
94	тем что он	1	1
95	может быть достаточно	1	1
96	это прежде всего	1	1
97	нельзя было говорить	2	1
98	и этот момент	1	1
99	и в этом	3	1
100	тем не менее	12	1
101	понимать друг друга	1	1
102	но даже и	1	1
103	тех или других	3	1
104	как и вообще	1	1
105	в нашем случае	1	1
106	иметь в виду	1	1
107	но вместе с	1	1
108	так как нам	1	1
109	так и от	1	1
110	о котором мы	1	1
111	но уже не	2	1
112	и что же	1	1
113	смысле слова здесь	1	1
114	содержит в себе	2	1
115	другое дело если	1	1
116	не менее и	1	1
117	но и вообще	1	1
118	будет иметь совершенно	1	1
119	мы не можем	1	1
120	даже и в	3	1
121	не может не	1	1
122	само по себе	2	1
123	об этом мы	1	1
124	но то что	1	1
125	хотя бы в	1	1
126	чрезвычайно важно для	1	1
127	не только не	2	1
128	и не может	1	1
129	вопрос о том	2	1
130	на то или	1	1
131	не только на	1	1
132	ни в какой	1	1
133	мысль о том	2	1
134	не существует и	1	1
135	нашей точки зрения	1	1
136	и тем более	1	1
137	только тогда когда	3	1
138	мы имеем в	1	1
139	с другой стороны	5	1
140	только в том	4	1
141	ни от чего	2	1
142	слова то есть	2	1
143	мы все же	3	1
144	та или иная	2	1
145	тем самым мы	2	1
146	необходимо чтобы он	1	1
147	вовсе не является	3	1
148	не только одним	1	1
149	в том что	4	1
150	такие слова как	1	1
151	и в вопросе	1	1
152	же такое слово	1	1
