N	2gram	Bakhtin_Pr_1	Otkroven
1	он не	3	4
2	в самой	2	3
3	от него	3	2
4	для него	1	2
5	в этом	15	2
6	а не	5	2
7	отношение к	10	1
8	в другом	2	1
9	не совпадает	2	1
10	единство в	1	1
11	как и	7	1
12	также и	3	1
13	сторон его	1	1
14	мысли и	1	1
15	он должен	2	1
16	но он	1	1
17	в душе	1	1
18	ивана карамазова	2	1
19	был бы	1	1
20	человека и	1	1
21	из сторон	1	1
22	если бы	3	1
23	его и	1	1
24	и эта	2	1
25	должно быть	5	1
26	и он	2	1
27	есть не	2	1
28	и в	38	1
29	это не	5	1
30	но оно	1	1
31	не есть	6	1
32	но и	9	1
33	не только	9	1
34	и вот	1	1
35	красота есть	1	1
36	то он	1	1
37	одна из	2	1
38	никогда не	5	1
39	и этим	6	1
40	его в	9	1
