N	2gram	Trubetskoy_1	Narrotol
1	не только	9	32
2	может быть	9	25
3	но и	10	23
4	в качестве	3	21
5	и не	19	20
6	то есть	1	19
7	и в	14	19
8	в том	17	18
9	в этом	17	17
10	не в	4	14
11	в частности	2	14
12	том что	9	14
13	состоит в	2	13
14	тогда как	2	12
15	а не	2	12
16	то что	13	11
17	а в	5	11
18	точки зрения	11	10
19	не может	22	10
20	при этом	5	9
21	в мире	4	9
22	так и	1	9
23	в его	4	9
24	со стороны	4	9
25	в себе	9	8
26	с другой	1	8
27	не является	1	8
28	еще не	3	7
29	по отношению	2	7
30	все же	4	7
31	как и	4	7
32	к тому	7	7
33	и т.д	4	7
34	но не	4	6
35	точка зрения	1	6
36	то в	3	6
37	тем самым	2	6
38	в себя	1	6
39	о том	7	6
40	что он	6	6
41	именно в	3	6
42	как это	1	6
43	отношению к	1	6
44	иначе говоря	1	6
45	том числе	1	6
46	но в	2	6
47	отнюдь не	7	5
48	и как	3	5
49	уже не	2	5
50	в этой	4	5
51	тому же	1	5
52	по себе	2	5
53	в основе	1	5
54	к себе	2	5
55	к нему	2	5
56	себя в	4	5
57	или иной	5	5
58	в данном	7	5
59	можно сказать	1	5
60	речь идет	2	4
61	данном случае	3	4
62	то же	11	4
63	из которых	5	4
64	перед нами	1	4
65	за границей	1	4
66	в нем	5	4
67	в принципе	1	4
68	в силу	2	4
69	но все	1	4
70	и с	7	4
71	было бы	5	4
72	и тем	2	4
73	точку зрения	4	4
74	связи с	3	4
75	числе и	1	4
76	той или	3	4
77	не столько	1	4
78	те же	1	4
79	одного из	1	4
80	же время	10	4
81	только в	5	4
82	хотя бы	5	4
83	у него	2	4
84	что не	1	4
85	прежде всего	8	4
86	если не	2	4
87	в церкви	1	4
88	как бы	4	4
89	да и	3	4
90	отличается от	2	4
91	одной из	3	4
92	это и	1	3
93	же как	1	3
94	в сущности	1	3
95	в ней	2	3
96	и на	5	3
97	может не	3	3
98	бы то	4	3
99	в ее	1	3
100	если в	6	3
101	что они	3	3
102	когда он	1	3
103	что это	3	3
104	из этих	3	3
105	не есть	3	3
106	он не	5	3
107	надежда на	1	3
108	то ни	4	3
109	не будет	7	3
110	ни в	2	3
111	тем не	1	3
112	не менее	1	3
113	в то	10	3
114	тем что	3	3
115	одна из	3	3
116	на него	1	3
117	никогда не	5	3
118	на себя	2	3
119	по своей	1	3
120	этом отношении	1	3
121	могут быть	1	3
122	как мы	1	3
123	с ее	1	3
124	свою очередь	1	3
125	сводится к	3	3
126	на том	3	3
127	мог бы	1	3
128	столь же	1	3
129	между тем	5	3
130	один из	1	3
131	из них	3	3
132	в прошлом	1	3
133	не о	2	3
134	из двух	1	3
135	и даже	2	3
136	даже не	2	3
137	в свою	1	3
138	а с	2	3
139	на будущее	1	3
140	как будто	2	3
141	что в	4	3
142	ни было	1	3
143	жизни в	5	3
144	а во	1	3
145	жизни и	4	3
146	отношения к	2	2
147	и потому	3	2
148	самом деле	7	2
149	идет о	1	2
150	оно может	1	2
151	должна быть	2	2
152	говорить о	3	2
153	в будущем	3	2
154	между собой	5	2
155	он сам	3	2
156	иное как	1	2
157	время в	2	2
158	но как	1	2
159	нет и	1	2
160	первый взгляд	1	2
161	в своем	6	2
162	что касается	1	2
163	в полном	1	2
164	что по	1	2
165	не являются	1	2
166	более или	4	2
167	все эти	2	2
168	бы не	1	2
169	и тот	2	2
170	роль в	1	2
171	себя и	5	2
172	они в	1	2
173	собой не	1	2
174	постольку поскольку	1	2
175	человека в	1	2
176	значительной степени	1	2
177	подход к	1	2
178	таким каким	1	2
179	а по	1	2
180	его в	4	2
181	того или	2	2
182	его личности	1	2
183	это не	1	2
184	в общей	1	2
185	несмотря на	3	2
186	обозначить как	1	2
187	жизни но	1	2
188	на первый	1	2
189	или менее	4	2
190	и сейчас	3	2
191	с точки	9	2
192	даже в	1	2
193	она не	2	2
194	чтобы стать	1	2
195	не могло	1	2
196	себе самом	1	2
197	что на	1	2
198	следует признать	1	2
199	то они	1	2
200	приходит к	3	2
201	и физически	1	2
202	языка и	1	2
203	в собственном	1	2
204	приводит к	4	2
205	и когда	1	2
206	что у	1	2
207	можно было	4	2
208	другом и	2	2
209	или в	3	2
210	быть может	1	2
211	о своей	1	2
212	его жизни	1	2
213	в значительной	3	2
214	и только	5	2
215	может оказаться	1	2
216	для него	6	2
217	или даже	1	2
218	богу не	1	2
219	в последние	5	2
220	к которому	1	2
221	люди что	1	2
222	не было	3	2
223	не на	1	2
224	зависит от	2	2
225	не всегда	1	2
226	совершенно очевидно	2	2
227	на чем	1	2
228	в область	1	2
229	а если	1	2
230	по существу	5	2
231	и для	6	2
232	в связи	1	2
233	она может	3	2
234	в результате	2	2
235	которая в	1	2
236	и все	1	2
237	тем более	1	2
238	хотя в	1	2
239	к самому	1	2
240	нами не	1	2
241	совершенно не	2	2
242	или иного	2	2
243	этого слова	1	2
244	так же	2	2
245	в таком	2	2
246	точно так	2	2
247	они не	1	2
248	из церкви	1	1
249	также и	1	1
250	для образования	1	1
251	того же	1	1
252	в разные	1	1
253	на самом	6	1
254	он может	1	1
255	и есть	2	1
256	не признает	1	1
257	ему что	1	1
258	видеть в	2	1
259	с таким	1	1
260	есть не	1	1
261	он как	1	1
262	но она	2	1
263	от церкви	3	1
264	которое в	1	1
265	как не	1	1
266	изменение в	1	1
267	разумеется не	1	1
268	столько же	1	1
269	к ее	1	1
270	в различных	1	1
271	во всех	5	1
272	там и	2	1
273	по своему	1	1
274	тот или	1	1
275	ее к	1	1
276	иметь в	1	1
277	друг от	2	1
278	судьбу в	1	1
279	данный момент	1	1
280	внутри себя	1	1
281	лишь изредка	1	1
282	нельзя было	1	1
283	кто не	1	1
284	изменений в	1	1
285	это культурное	1	1
286	и наконец	2	1
287	политического и	1	1
288	и к	6	1
289	национальной и	1	1
290	от этого	1	1
291	в смысл	1	1
292	в самом	3	1
293	даже если	2	1
294	идет не	1	1
295	но по	1	1
296	ни один	1	1
297	а во-вторых	2	1
298	формы в	1	1
299	за освобождение	1	1
300	без ее	1	1
301	также может	1	1
302	далеко и	1	1
303	но на	1	1
304	на его	1	1
305	силу и	1	1
306	одному из	2	1
307	том чтобы	3	1
308	на земле	4	1
309	что ни	1	1
310	и по	3	1
311	или иных	1	1
312	таким образом	11	1
313	и за	1	1
314	здесь мы	1	1
315	в совершенно	4	1
316	единое целое	1	1
317	в другом	3	1
318	об этом	1	1
319	мы уже	2	1
320	входит в	1	1
321	с другими	1	1
322	за другой	1	1
323	практически не	1	1
324	придает ему	1	1
325	с богом	1	1
326	церковь и	1	1
327	все равно	1	1
328	а за	1	1
329	друга в	1	1
330	как сказано	1	1
331	мы не	1	1
332	и ничего	1	1
333	в один	1	1
334	и тогда	2	1
335	одного и	1	1
336	что данный	1	1
337	таким же	3	1
338	вопросах веры	2	1
339	в котором	2	1
340	в их	4	1
341	и народ	1	1
342	к одному	1	1
343	место в	2	1
344	зрения здесь	1	1
345	на свою	1	1
346	в которых	1	1
347	признать что	6	1
348	было проведено	1	1
349	и другого	1	1
350	ней поэтому	1	1
351	в россии	6	1
352	теми же	1	1
353	по крайней	1	1
354	и более	2	1
355	их в	2	1
356	в конце	3	1
357	тому чтобы	4	1
358	том же	2	1
359	и то	4	1
360	ни одна	3	1
361	приводят к	2	1
362	любви и	1	1
363	человек и	1	1
364	до известной	1	1
365	отметить что	2	1
366	она могла	1	1
367	ними не	1	1
368	принадлежат к	2	1
369	дело в	1	1
370	и сама	1	1
371	бытия и	1	1
372	он еще	1	1
373	не всякий	1	1
374	что весьма	1	1
375	преимущественно в	1	1
376	это то	1	1
377	именно с	1	1
378	в какой-нибудь	1	1
379	оно есть	1	1
380	к ней	1	1
381	более что	1	1
382	связь и	1	1
383	лишь в	3	1
384	и является	2	1
385	а лишь	4	1
386	потому что	5	1
387	если будет	1	1
388	свидетельствуют о	1	1
389	не по	1	1
390	было не	1	1
391	в области	2	1
392	ли это	4	1
393	последние дни	5	1
394	с другом	14	1
395	от того	4	1
