N	2gram	Tiupa_Narr_1	Tragedij
1	и в	19	18
2	в году	1	9
3	в этом	17	9
4	не только	32	8
5	он сам	2	7
6	и с	4	7
7	и на	3	7
8	может быть	25	7
9	как бы	4	7
10	и не	20	7
11	но в	6	6
12	и его	5	6
13	же время	4	6
14	что он	6	6
15	у него	4	6
16	то же	4	5
17	все же	7	5
18	что это	3	5
19	это не	2	5
20	как и	7	5
21	несмотря на	2	5
22	в то	3	5
23	так и	9	5
24	не может	10	5
25	к жизни	1	5
26	еще не	7	4
27	в себе	8	4
28	в целом	1	4
29	в этой	5	4
30	в нем	4	4
31	об этом	1	4
32	том что	14	4
33	но и	23	4
34	и даже	3	4
35	прежде всего	4	4
36	так же	2	4
37	но это	1	4
38	что в	3	4
39	и все	2	4
40	то что	11	4
41	в мире	9	3
42	и он	3	3
43	своего рода	12	3
44	отнюдь не	5	3
45	как в	7	3
46	в своем	2	3
47	и как	5	3
48	все эти	2	3
49	при этом	9	3
50	то есть	19	3
51	тем самым	6	3
52	о чем	2	3
53	в поле	1	3
54	с ее	3	3
55	и сам	1	3
56	мог бы	3	3
57	с ним	1	3
58	к нему	5	3
59	в его	9	3
60	один из	3	3
61	уже в	3	3
62	для него	2	3
63	никто не	1	3
64	в конце	1	3
65	как будто	3	3
66	как это	6	3
67	в первом	3	2
68	и до	2	2
69	она все	1	2
70	и за	1	2
71	а как	1	2
72	никогда не	3	2
73	и то	1	2
74	столь же	3	2
75	с его	6	2
76	ее к	1	2
77	отношение к	2	2
78	отличие от	5	2
79	как говорит	3	2
80	о жизни	1	2
81	перед нами	4	2
82	в самом	1	2
83	то и	1	2
84	жизнью и	2	2
85	он не	3	2
86	но все	4	2
87	что все	1	2
88	его в	2	2
89	в глазах	1	2
90	в это	1	2
91	ни в	3	2
92	поведение в	1	2
93	не мог	4	2
94	любви и	1	2
95	в ходе	1	2
96	в отличие	5	2
97	не в	14	2
98	что этот	1	2
99	вместе со	1	2
100	одна из	3	2
101	не имеет	2	2
102	не могут	1	2
103	он и	1	2
104	к тому	7	2
105	году в	1	2
106	в ее	3	2
107	данном случае	4	2
108	как у	1	2
109	ничего не	2	2
110	и здесь	1	2
111	о том	6	2
112	времени в	2	2
113	что и	1	2
114	в том	18	2
115	даже если	1	2
116	который в	2	2
117	и ее	2	2
118	на всем	1	2
119	уже не	5	2
120	не так	1	2
121	не случайно	2	2
122	тем что	3	2
