N	2gram	Medvedev_V_1	Vvedenie
1	и в	2	32
2	в том	2	31
3	в этом	1	30
4	том что	2	26
5	потому что	1	15
6	так как	1	15
7	в самом	1	13
8	в их	1	12
9	только в	1	12
10	и не	1	12
11	ясно что	1	11
12	то же	1	9
13	а только	1	8
14	именно в	1	8
15	самом деле	1	7
16	и его	1	6
17	все это	1	6
18	хотя бы	1	6
19	в которых	1	5
20	и то	1	4
21	и заключается	1	4
22	по крайней	1	4
23	и т.д	1	4
24	крайней мере	1	4
25	дело в	1	3
26	в конце	2	3
27	да и	1	3
28	к этому	1	3
29	в частности	1	3
30	гораздо более	1	3
31	история языка	1	2
32	время в	1	2
33	материалов и	1	2
34	чем больше	1	2
35	в другом	1	2
36	для них	1	2
37	другое дело	1	2
38	том же	1	2
39	а отсюда	1	2
40	другом месте	1	2
41	в значительной	1	2
42	тем более	1	2
43	все время	1	2
44	от других	1	2
45	по существу	1	2
46	но это	1	2
47	деле как	1	2
48	конце концов	2	2
49	ни к	1	2
50	не даром	1	1
51	бы уже	1	1
52	одном и	1	1
53	говорится в	1	1
54	одно и	1	1
55	как говорили	1	1
56	стоит на	1	1
57	этом и	1	1
58	о теории	1	1
59	в пылу	1	1
60	совершенно ясно	1	1
61	других и	1	1
62	теснейшим образом	1	1
63	ведь это	1	1
64	как же	1	1
65	и составляет	1	1
66	и том	1	1
67	все то	1	1
68	не одно	1	1
69	чем к	1	1
70	впрочем не	1	1
71	с большой	1	1
72	по поводу	1	1
73	или без	1	1
