N	3gram	Ircho_Kome_1	Psycholo
1	в том что	9	17
2	для того чтобы	1	13
3	и т п	5	8
4	на то что	2	6
5	то же самое	2	6
6	до сих пор	2	5
7	в этом отношении	3	5
8	сам по себе	1	4
9	можно было бы	1	4
10	так же как	1	4
11	в данном случае	1	4
12	тем не менее	1	4
13	о том что	3	4
14	том что он	4	3
15	в конце концов	4	3
16	в то время	5	3
17	в отношении к	1	3
18	том что в	1	2
19	состоит в том	1	2
20	подобно тому как	1	2
21	представление о том	1	2
22	что он не	1	2
23	как и в	2	2
24	что все это	1	2
25	и тем что	2	2
26	то время как	4	2
27	каждый из них	2	2
28	бы то ни	2	2
29	во всяком случае	2	2
30	этой точки зрения	1	2
31	в этой области	1	2
32	и таким образом	2	2
33	и в том	1	2
34	таким образом в	2	2
35	то же время	4	2
36	с другой стороны	5	2
37	в то же	4	2
38	к тому что	1	2
39	и т д	4	2
40	не в состоянии	2	1
41	а между тем	1	1
42	что иное как	1	1
43	на такой же	1	1
44	жизнь и ее	1	1
45	в чем же	1	1
46	в его творчестве	1	1
47	и даже не	1	1
48	что же касается	1	1
49	же как и	1	1
50	в зависимости от	1	1
51	произведениях и таким	1	1
52	в отличие от	1	1
53	но и в	2	1
54	не один раз	1	1
55	но он не	1	1
56	может быть даже	2	1
57	с этой точки	1	1
58	вместе с тем	1	1
59	по аналогии с	1	1
60	то ни было	2	1
61	едва ли не	3	1
62	могут быть отнесены	1	1
63	чтобы убедиться в	1	1
64	с одной стороны	3	1
65	и тот же	1	1
66	но при этом	1	1
67	как будто бы	1	1
68	в одном случае	1	1
69	которые могут быть	1	1
70	говорит он но	1	1
71	бросается в глаза	1	1
72	до наших дней	1	1
73	более или менее	1	1
74	и каждый из	1	1
75	мы не найдем	1	1
76	до самого конца	2	1
77	при этом что	2	1
78	с самого начала	1	1
79	и подобно тому	1	1
80	т п в	1	1
81	именно потому что	2	1
82	на основании этого	1	1
83	он может быть	1	1
84	может и не	1	1
85	именно в этой	1	1
86	друг от друга	1	1
87	совершенно очевидно что	1	1
88	в другом случае	1	1
89	после того как	3	1
90	не что иное	1	1
91	так главным образом	1	1
92	на то чтобы	1	1
93	в высшей степени	1	1
94	так как он	1	1
95	к одному и	1	1
96	в трех стихах	1	1
