N	3gram	Tiupa_Lite_2	Istorich
1	в этом случае	2	5
2	вместе с тем	1	5
3	в том что	5	5
4	что он не	1	4
5	по отношению к	3	3
6	подобно тому как	2	3
7	можно было бы	1	3
8	с одной стороны	6	3
9	на самом деле	1	2
10	во всех этих	1	2
11	с другой стороны	4	2
12	не может быть	7	2
13	о том что	2	2
14	после того как	1	2
15	том что в	1	1
16	это могло бы	1	1
17	в отличие от	1	1
18	за то что	2	1
19	в себя и	1	1
20	и то же	2	1
21	тем не менее	2	1
22	что ни есть	1	1
23	то что было	1	1
24	один из тех	1	1
25	пути по которому	1	1
26	тем что в	1	1
27	при всей своей	2	1
28	одной из версий	1	1
29	органической связи с	1	1
30	и когда он	1	1
31	со мной в	1	1
32	мы не можем	1	1
33	с обратным знаком	1	1
34	не только не	1	1
35	и прежде всего	1	1
36	с тем она	1	1
37	это свидетельствует о	1	1
