N	4gram	Vinokur_Vv_1	KulturaY
1	до тех пор пока	1	4
2	и в самом деле	3	3
3	и тем не менее	3	3
4	в зависимости от того	1	3
5	было бы сказать что	1	3
6	одного и того же	2	2
7	только после того как	2	2
8	не говоря уже о	1	2
9	в том что не	1	2
10	в силу которых мы	1	1
11	заключается вовсе не в	1	1
12	уже о том что	1	1
13	том-то и дело что	1	1
14	в том отношении что	3	1
15	говоря уже о том	1	1
16	и т д но	5	1
17	в том чтобы выяснить	1	1
18	той мере в какой	4	1
19	одной и той же	2	1
20	на этот вопрос мы	1	1
21	в собственном смысле слова	1	1
22	обратить внимание на те	1	1
23	лишь как указание на	1	1
24	в том-то и дело	1	1
25	с этой точки зрения	1	1
26	было до сих пор	1	1
27	собственном смысле этого слова	1	1
28	без особых пояснений понятно	1	1
29	то же самое что	2	1
30	но дело не в	1	1
31	вовсе не в том	1	1
32	но также и в	1	1
33	языка в отличие от	1	1
34	и т д и	1	1
35	уже само по себе	1	1
36	и в этом ее	1	1
37	не только в том	1	1
38	заключается не только в	1	1
39	в то же время	5	1
40	заключается в том что	2	1
41	в той мере в	4	1
42	особых пояснений понятно что	1	1
