N	3gram	Propp_Isto_6	PoTuStor
1	по ту сторону	1	4
2	до сих пор	4	3
3	во всяком случае	2	3
4	не может быть	3	3
5	можно сказать что	1	3
6	нам кажется что	1	2
7	что не удается	1	2
8	друг на друга	1	2
9	по аналогии с	1	2
10	так же как	1	2
11	о том что	4	2
12	уже знаем что	2	1
13	своем месте и	1	1
14	а иногда и	1	1
15	уже не может	1	1
16	мы имеем в	4	1
17	через некоторое время	1	1
18	подобно тому как	1	1
19	первый план выдвигается	1	1
20	а потом и	1	1
21	же как и	1	1
22	на первый план	2	1
23	в свою противоположность	1	1
24	заранее обречены на	2	1
25	зависимости от окружающей	1	1
26	можно было бы	2	1
27	со всех сторон	1	1
28	с этой точки	1	1
29	вместе с тем	3	1
30	так как он	2	1
31	поэтому и не	1	1
32	ранних ступенях развития	1	1
33	в данном случае	3	1
34	здесь только что	1	1
35	на своем месте	1	1
36	с одной стороны	7	1
37	еще не имеет	1	1
38	как один из	1	1
39	а с другой	1	1
40	всяком случае не	1	1
41	но вместе с	1	1
42	же мы видим	2	1
43	в свое время	1	1
44	в том что	5	1
45	этой точки зрения	1	1
46	вместе с ним	1	1
47	мы видим и	1	1
48	так и в	1	1
49	обречены на неудачу	1	1
50	то же мы	2	1
51	что иное как	1	1
52	таким образом и	2	1
53	в том смысле	1	1
54	не что иное	1	1
55	но мы уже	2	1
56	друг с другом	1	1
57	мы уже знаем	2	1
58	для того чтобы	1	1
59	на первый взгляд	1	1
60	что между ними	1	1
61	они не будут	1	1
