N	4gram	Trubetskoy_1	Psycholo
1	о том что он	1	2
2	в то время как	1	2
3	одной и той же	1	2
4	то же самое что	1	2
5	заключается в том что	2	2
6	дело в том что	1	1
7	в том что он	1	1
8	и с точки зрения	1	1
9	вступить в противоречие с	1	1
10	указывают на то что	2	1
11	в том что они	1	1
12	в том и другом	1	1
13	до сих пор на	1	1
14	в том или ином	1	1
15	мы уже знаем что	1	1
16	в самом деле если	1	1
17	с психологической точки зрения	1	1
18	указывали на то что	1	1
19	в том что при	1	1
20	именно в том что	1	1
21	что ни одна из	1	1
22	того чтобы ответить на	1	1
23	а на самом деле	1	1
24	с этой точки зрения	1	1
25	бы то ни было	2	1
26	для того чтобы ответить	1	1
27	мысль о том что	1	1
28	в то же время	2	1
29	и уже одно это	1	1
30	то непосредственное впечатление которое	1	1
31	что до сих пор	1	1
