N	3gram	Berdyaev_O_1	RusskieA
1	в том что	1	15
2	том что в	1	6
3	о том что	1	4
4	а иногда и	1	3
5	друг к другу	1	2
6	после того как	1	2
7	хотя и не	1	1
8	может быть назван	1	1
9	который в них	1	1
10	в этом отношении	1	1
11	как это часто	1	1
12	он был еще	2	1
13	как будто бы	1	1
14	и в этом	2	1
15	он должен был	1	1
16	во всяком случае	1	1
17	и в том	1	1
18	бросается в глаза	1	1
19	в россии в	1	1
20	с тем что	2	1
21	природы и ее	1	1
22	на то что	1	1
23	друг с другом	1	1
24	как и в	1	1
25	в совершенно ином	1	1
26	на этот случай	1	1
