N	3gram	Vinokur_St_3	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	2	7
3	с точки зрения	4	6
4	во всяком случае	4	6
5	более или менее	1	5
6	до сих пор	2	5
7	по крайней мере	4	5
8	а с другой	2	5
9	для того чтобы	1	5
10	о том что	4	4
11	но все же	2	4
12	так или иначе	1	3
13	в конце концов	3	3
14	в связи с	3	3
15	тем не менее	2	3
16	в том что	11	3
17	в том виде	1	2
18	то же самое	1	2
19	в этом отношении	4	2
20	в значительной мере	1	2
21	с этой точки	1	2
22	на русской почве	1	2
23	то что он	1	2
24	том виде в	1	2
25	таким образом в	1	2
26	то же время	3	2
27	этой точки зрения	1	2
28	с самого начала	2	2
29	он не имеет	1	2
30	той или иной	1	2
31	можно сказать что	1	2
32	на то что	3	2
33	в то же	3	2
34	на пути к	1	2
35	и в этом	2	2
36	это связано с	3	1
37	каждая из этих	1	1
38	даже там где	1	1
39	не может не	1	1
40	следует заметить что	1	1
41	в прямом смысле	1	1
42	состоит в том	3	1
43	иметь в виду	1	1
44	с первого взгляда	1	1
45	в самом деле	1	1
46	в общем немало	1	1
47	а потому что	2	1
48	то что эти	1	1
49	в эту эпоху	2	1
50	в этом целом	1	1
51	с тем что	3	1
52	что мы знаем	1	1
53	виде в каком	1	1
54	на русскую почву	1	1
55	и только тогда	1	1
56	с отвлеченным значением	1	1
57	в этой области	2	1
58	не потому что	1	1
59	это однако не	1	1
60	потому что в	1	1
61	не в том	3	1
62	все более и	2	1
63	все что мы	1	1
64	в этом направлении	1	1
65	тем или иным	1	1
66	между народом и	1	1
67	все это было	1	1
68	с другой стороны	4	1
69	речь идет о	1	1
70	но в конце	1	1
71	не может быть	5	1
72	что в этой	2	1
73	в то время	4	1
74	в свою очередь	1	1
75	в одном из	1	1
76	не только не	1	1
77	более и более	2	1
78	что это есть	2	1
79	и в результате	1	1
80	мы имеем в	2	1
81	и не потому	1	1
82	и что он	1	1
83	атмосферу в которой	1	1
84	тем что в	2	1
85	только тогда когда	2	1
