N	2gram	Medvedev_I_1	formyVre
1	и в	1	50
2	в этом	2	25
3	и не	2	14
4	по существу	1	12
5	так и	1	12
6	все эти	1	9
7	ничего не	2	9
8	и др	1	9
9	того же	1	8
10	жизни и	1	8
11	отношению к	1	5
12	он не	2	5
13	в основе	1	5
14	того чтобы	1	5
15	если бы	1	5
16	для того	1	5
17	что в	2	5
18	для других	1	4
19	и с	3	4
20	в них	1	4
21	все это	1	4
22	по отношению	1	3
23	со всеми	1	3
24	а в	1	3
25	тех же	1	2
26	от этого	1	2
27	в целом	1	2
28	и еще	1	2
29	автора и	1	2
30	для него	1	2
31	никогда не	1	2
32	есть только	1	2
33	во многом	1	2
34	а также	1	2
35	в значительной	1	2
36	того что	1	2
37	тем что	1	2
38	с другой	1	2
39	бы в	1	1
40	и ничего	1	1
41	нам в	1	1
42	я не	1	1
43	что роман	1	1
44	о жизни	1	1
45	это был	1	1
46	и сам	1	1
47	человеке и	1	1
48	и тот	1	1
49	нее и	1	1
50	братья карамазовы	1	1
51	них не	1	1
52	это было	1	1
53	в эту	1	1
54	и очень	1	1
55	вплоть до	1	1
56	как о	1	1
57	и со	1	1
58	как только	1	1
59	значительной мере	1	1
60	у всех	1	1
61	должен быть	2	1
62	к отцу	1	1
63	себя в	1	1
64	могло бы	1	1
65	произведения и	1	1
66	стороны он	1	1
67	то и	1	1
68	этим и	1	1
69	самого себя	2	1
70	бы его	1	1
71	но когда	1	1
