N	3gram	Losev_Dial_2	NovoeSre
1	не может быть	3	4
2	подобно тому как	1	3
3	со всех сторон	1	3
4	не значит что	3	3
5	равно как и	1	2
6	в этом смысле	1	2
7	что в нем	2	2
8	вместе с тем	1	2
9	так же как	1	2
10	с одной стороны	1	2
11	и должно быть	2	2
12	это не значит	2	2
13	с другой стороны	4	2
14	когда мы говорим	1	2
15	вопрос о том	1	2
16	в том и	1	2
17	она не может	1	2
18	я думаю что	1	1
19	что она не	1	1
20	только потому что	1	1
21	то время как	3	1
22	но это значит	1	1
23	и до сих	1	1
24	есть прежде всего	1	1
25	мы приближаемся к	1	1
26	религия не может	2	1
27	же как и	1	1
28	не было и	1	1
29	как это было	2	1
30	до сих пор	2	1
31	и не может	1	1
32	в зависимости от	2	1
33	сами по себе	3	1
34	но и в	1	1
35	я уже говорил	1	1
36	из глубины и	1	1
37	час тоски невыразимой	1	1
38	нет у него	1	1
39	может быть только	2	1
40	не только в	2	1
41	как будто бы	3	1
42	не могут быть	2	1
43	не в том	1	1
44	в нем не	1	1
45	во всяком случае	2	1
46	не должно быть	2	1
47	я не могу	1	1
48	это время как	1	1
49	о том что	4	1
50	в то время	3	1
51	и пр в	1	1
52	в каком-то новом	1	1
53	и вместе с	1	1
54	имея в виду	1	1
55	это и есть	1	1
56	та или иная	2	1
57	все в мире	1	1
58	не только потому	1	1
59	это значит что	8	1
60	мы говорим о	1	1
61	которые могут быть	1	1
62	в том смысле	4	1
63	в том что	6	1
