N	3gram	Propp_Russ_1	slovoVRo
1	и т п	1	23
2	с точки зрения	3	8
3	в большинстве случаев	2	6
4	во всяком случае	1	5
5	и т д	9	5
6	прямо и непосредственно	1	4
7	в данном случае	1	3
8	в этом случае	5	2
9	о том же	1	2
10	не только в	1	2
11	в то время	1	2
12	и в этом	1	2
13	в других случаях	2	2
14	в свою очередь	2	2
15	не только на	2	2
16	как мы уже	1	2
17	к тому что	4	2
18	можно было бы	1	2
19	и в том	1	2
20	друг с другом	1	2
21	а следовательно и	1	1
22	между прочим в	1	1
23	с таким же	1	1
24	не только по	2	1
25	иногда совпадая с	1	1
26	как мы видим	1	1
27	но это не	2	1
28	но и по	1	1
29	которые как известно	1	1
30	в отличие от	1	1
31	потому что по	1	1
32	на самом же	1	1
33	в этом отношении	1	1
34	а иногда и	3	1
35	в противном случае	1	1
36	представителями которого в	1	1
37	у него нет	1	1
38	может быть и	2	1
39	каждый из этих	1	1
40	но и на	2	1
41	так что они	1	1
42	во всех этих	1	1
43	в какой степени	2	1
44	одни и те	1	1
45	это не значит	2	1
46	такая точка зрения	1	1
47	тем не менее	3	1
48	между тем это	1	1
49	о том что	4	1
50	и некоторые другие	2	1
51	и по формам	1	1
52	еще далеко не	1	1
53	в одном из	1	1
54	и те же	1	1
55	можно сказать что	1	1
56	у нас в	1	1
57	мы видим что	1	1
58	самом же деле	1	1
59	в том что	15	1
60	как и в	1	1
61	привело к тому	2	1
62	как мы видели	1	1
