N	3gram	Bakhtin_sl_1	Problema
1	и т д	5	13
2	тем не менее	1	10
3	в том что	1	9
4	той или иной	9	8
5	в данном случае	3	7
6	во всяком случае	5	6
7	и в этом	2	6
8	в этом случае	2	5
9	по крайней мере	1	5
10	с другой стороны	4	5
11	не может быть	1	5
12	бы то ни	1	4
13	на самом же	1	4
14	в то же	12	4
15	то время как	2	4
16	и то же	2	4
17	самом же деле	1	4
18	в то время	2	4
19	тех или иных	1	4
20	дело в том	1	3
21	того или иного	2	3
22	можно было бы	2	3
23	может быть и	1	3
24	одно и то	2	3
25	то ни было	1	3
26	то есть в	1	3
27	о том что	1	3
28	именно потому что	1	3
29	в той или	9	2
30	а вовсе не	2	2
31	здесь перед нами	1	2
32	в некотором отношении	1	2
33	с точки зрения	8	2
34	до сих пор	2	2
35	в отличие от	1	2
36	но и в	1	2
37	то или иное	1	2
38	и в частности	1	2
39	не только в	2	2
40	несет на себе	1	2
41	этой точки зрения	1	2
42	так что мы	1	2
43	но с другой	1	2
44	можно сказать что	1	2
45	у нас в	1	2
46	как мы видели	1	2
47	в самой этой	1	1
48	во всякой художественной	1	1
49	точка зрения на	2	1
50	точки зрения на	3	1
51	форме то есть	1	1
52	но как мы	1	1
53	в виду не	1	1
54	все дело в	1	1
55	автора и от	1	1
56	это было бы	1	1
57	более или менее	3	1
58	но оно не	2	1
59	и нет ничего	1	1
60	у тургенева и	1	1
61	в том и	2	1
62	между собой в	1	1
63	себя в нем	3	1
64	а также между	1	1
65	именно к тому	1	1
66	как мы сказали	4	1
67	свое произведение не	1	1
68	к тому или	1	1
69	но это не	1	1
70	от предмета изображения	1	1
71	прямо и непосредственно	4	1
72	произведение в целом	1	1
73	хотя может быть	1	1
74	в процессе живого	1	1
75	с этой точки	1	1
76	и не в	1	1
77	как и в	1	1
78	может быть не	1	1
79	один и единственный	1	1
80	до конца и	3	1
81	если бы мы	1	1
82	мы все же	1	1
83	с одной стороны	4	1
84	и все его	1	1
85	том что всякий	1	1
86	не в самом	1	1
87	так что они	1	1
88	и не было	1	1
89	во всех этих	1	1
90	в евгении онегине	2	1
91	мы и можем	1	1
92	так или иначе	1	1
93	это не значит	1	1
94	только в предмете	1	1
95	т д можно	1	1
96	друг друга и	1	1
97	что они не	1	1
98	и во всяком	1	1
99	не был бы	1	1
100	узком смысле слова	1	1
101	может быть то	1	1
102	же и в	1	1
103	так и в	3	1
104	особой точки зрения	1	1
105	то и в	1	1
106	в первом случае	2	1
107	равно как и	1	1
108	не только не	1	1
109	от автора и	1	1
110	как бы ни	2	1
111	на то или	1	1
112	и перестает быть	1	1
113	к тому что	2	1
114	таким образом в	3	1
115	для того чтобы	1	1
