N	2gram	Bakhtin_sl_1	Mirosoze
1	может быть	14	30
2	не только	16	29
3	и в	41	28
4	не может	14	28
5	но и	16	25
6	а не	15	25
7	он не	3	24
8	в этом	12	20
9	не было	3	18
10	у него	3	17
11	не в	7	16
12	потому что	2	16
13	в ней	4	15
14	в своей	7	15
15	переходит в	3	15
16	и есть	1	14
17	он был	1	14
18	никогда не	3	14
19	до конца	12	14
20	человека в	1	13
21	в нем	30	13
22	и он	1	12
23	и это	1	12
24	в самом	5	11
25	для него	3	11
26	и не	16	11
27	в своем	3	10
28	было бы	3	10
29	прежде всего	8	10
30	был бы	2	10
31	и потому	4	10
32	и все	4	10
33	те которые	1	9
34	но он	2	9
35	и его	14	9
36	не есть	2	9
37	в его	13	9
38	из самых	1	8
39	в котором	2	8
40	но не	2	8
41	не был	1	7
42	менее всего	1	7
43	но в	8	7
44	в себе	3	7
45	в самой	1	7
46	к нему	5	7
47	того что	3	7
48	он весь	2	7
49	нет ничего	1	7
50	и на	14	6
51	в которой	4	6
52	лишь в	4	6
53	в этой	1	6
54	только в	6	6
55	вместе с	1	6
56	все это	5	6
57	в том	3	6
58	нет и	1	5
59	это не	6	5
60	как и	4	5
61	у нас	2	5
62	весь в	1	5
63	не могут	3	5
64	смысле слова	2	4
65	или к	3	4
66	есть не	1	4
67	отношение к	7	4
68	за пределы	4	4
69	чем его	1	4
70	чем у	1	4
71	не к	1	4
72	не как	4	4
73	и по	2	4
74	в них	6	4
75	в этих	2	4
76	точки зрения	16	4
77	в их	4	4
78	в которых	1	4
79	к концу	1	4
80	она не	3	4
81	что и	1	4
82	один из	4	4
83	уже не	2	4
84	есть уже	1	4
85	ни с	1	4
86	а в	6	4
87	был в	1	4
88	и там	3	4
89	с этой	3	4
90	на пути	1	4
91	которых он	1	4
92	от него	1	4
93	не знает	1	4
94	его не	1	3
95	с его	4	3
96	с этим	3	3
97	бы и	3	3
98	на том	2	3
99	на этом	2	3
100	и с	4	3
101	то есть	26	3
102	его в	3	3
103	в жизни	1	3
104	только одно	1	3
105	для них	2	3
106	том что	2	3
107	но если	1	3
108	ничего не	4	3
109	к тому	3	3
110	которая есть	1	3
111	в ее	2	3
112	особенно в	1	3
113	только и	1	3
114	они ищут	1	3
115	все его	4	3
116	в него	3	3
117	себя в	9	3
118	конечно не	3	3
119	и их	1	3
120	так как	3	3
