N	3gram	Voloshinov_1	Vladivir
1	о том что	2	7
2	в том что	1	7
3	в те времена	1	5
4	то же время	7	4
5	в то же	9	4
6	более или менее	1	3
7	мы увидим ниже	1	3
8	в конце концов	3	3
9	с другой стороны	1	3
10	не может быть	2	3
11	как мы уже	2	3
12	но даже и	1	2
13	как раз и	1	2
14	и в то	2	2
15	как мы увидим	2	2
16	не только в	3	2
17	можно сказать что	2	2
18	тем не менее	1	2
19	для того чтобы	7	2
20	дает нам возможность	1	1
21	это же самое	1	1
22	но вот уже	1	1
23	как к своему	1	1
24	что иное как	2	1
25	нет и не	1	1
26	и той же	2	1
27	не говоря уже	1	1
28	к этому предмету	1	1
29	в самом деле	1	1
30	и в особенности	1	1
31	в дальнейшем мы	1	1
32	и не может	1	1
33	несмотря на свою	1	1
34	вместе с тем	2	1
35	одно и то	3	1
36	но в том	1	1
37	нашей воли и	1	1
38	содержит в себе	1	1
39	но в то	2	1
40	смысле этого слова	2	1
41	в связи с	2	1
42	и то же	3	1
43	и в этом	1	1
44	для нас важнее	1	1
45	дальнейшем мы будем	1	1
46	и уже в	1	1
47	но и его	1	1
48	так впоследствии и	1	1
49	мы уже знаем	1	1
50	на вопросе о	1	1
51	хотя бы на	1	1
52	мы будем называть	1	1
53	уже видели что	1	1
54	заключать в себе	1	1
55	мы уже видели	2	1
56	но и вообще	1	1
57	в разных местах	2	1
58	одной и той	2	1
59	есть не что	2	1
60	не может получить	1	1
61	которой мы сейчас	1	1
62	даже и в	1	1
63	в свою очередь	4	1
64	отношения к нему	2	1
65	вот уже в	1	1
66	так как в	1	1
67	и никогда не	1	1
68	и тем самым	3	1
69	на этом мы	1	1
70	не только не	1	1
71	с которой мы	1	1
72	же время и	1	1
73	уже не только	1	1
74	к тому что	2	1
75	не что иное	2	1
76	мысль о том	1	1
77	в жизни и	1	1
78	в этом отношении	2	1
