N	3gram	Losev_Vlad_1	Istorich
1	и т д	2	24
2	мы знаем что	2	7
3	и то что	4	5
4	с другой стороны	3	4
5	не может быть	3	4
6	что иное как	1	3
7	на то что	4	3
8	не что иное	1	3
9	о том что	7	2
10	в таких случаях	1	2
11	так как он	2	2
12	не только в	2	2
13	смысле этого слова	1	2
14	то что он	5	2
15	содержит в себе	1	2
16	к своему отцу	1	2
17	так и в	1	2
18	в связи с	1	2
19	тем не менее	2	2
20	мы еще встретимся	1	1
21	вовсе не есть	1	1
22	указать на два	1	1
23	и отец и	1	1
24	у него по	1	1
25	как это мы	2	1
26	и по существу	1	1
27	от своего отца	1	1
28	указывает на то	1	1
29	на себя их	1	1
30	и не может	1	1
31	и действительно в	1	1
32	и тут же	1	1
33	что он не	3	1
34	быть речи о	1	1
35	как мы увидим	2	1
36	нужно прибавить что	2	1
37	может быть речи	1	1
38	за то что	1	1
39	то что этот	1	1
40	и в египте	1	1
41	то время как	1	1
42	здесь мы имеем	1	1
43	не потому что	1	1
44	если бы мы	1	1
45	в этот момент	1	1
46	и то же	1	1
47	и вместе с	1	1
48	свою связь с	1	1
49	указать еще на	1	1
50	одно и то	1	1
51	что он как	1	1
52	мы уже знаем	1	1
53	что в доме	1	1
54	из них не	1	1
55	и в особенности	1	1
56	что у него	2	1
57	то чего не	1	1
58	вместе с тем	1	1
59	мы уже видели	1	1
60	ответы на все	1	1
61	есть не что	1	1
62	мы увидим ниже	3	1
63	хотя бы на	1	1
64	в то время	2	1
65	это и есть	1	1
66	но он не	1	1
67	у него есть	1	1
68	в целом и	1	1
69	в себе черты	1	1
70	и тем самым	1	1
71	можно сказать что	2	1
72	и по своим	2	1
73	именно так как	1	1
74	по своей основной	1	1
75	тем более что	2	1
76	что дело не	1	1
77	к тому что	1	1
78	не было никакого	1	1
79	т д в	1	1
80	что и в	2	1
81	указывает на его	1	1
82	только с помощью	1	1
