N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	56
2	в его	7	18
3	все эти	4	15
4	в этом	12	14
5	в том	5	13
6	так и	2	13
7	он был	8	12
8	и его	4	12
9	вещей и	1	11
10	в них	1	11
11	в этих	3	11
12	до конца	7	11
13	как бы	3	11
14	и до	1	10
15	еще не	3	10
16	в эпоху	1	10
17	в самом	5	9
18	и не	13	9
19	но и	13	9
20	в сущности	1	8
21	не только	11	8
22	в нем	10	8
23	и с	2	8
24	и даже	1	8
25	все это	6	8
26	том что	2	8
27	и на	2	7
28	у него	22	7
29	в частности	1	7
30	в ее	2	6
31	в этой	5	6
32	но в	2	6
33	вовсе не	1	6
34	прежде всего	9	6
35	и все	10	6
36	потому что	9	6
37	с его	4	5
38	но не	1	5
39	он не	7	5
40	в отношении	1	5
41	в процессе	1	5
42	никогда не	9	5
43	один из	1	5
44	ни с	7	5
45	не было	9	5
46	как и	6	5
47	в творчестве	5	5
48	что в	4	5
49	ту же	1	4
50	например в	1	4
51	и потому	2	4
52	в ней	1	4
53	и к	2	4
54	в которой	2	4
55	что это	1	4
56	в себе	3	4
57	что все	2	4
58	и ее	3	4
59	и более	1	4
60	одна из	1	4
61	того чтобы	4	4
62	по своей	1	4
63	во всем	1	4
64	в совершенно	1	4
65	и других	1	4
66	о том	3	4
67	так как	2	4
68	в своих	3	4
69	в своем	2	3
70	и самый	1	3
71	мировой истории	1	3
72	не в	11	3
73	но он	7	3
74	в форме	1	3
75	другом месте	1	3
76	и был	1	3
77	и о	2	3
78	характер и	1	3
79	в другом	2	3
80	и здесь	1	3
81	все его	1	3
82	это была	1	3
83	как например	1	3
84	так что	2	3
85	уже не	1	3
86	был бы	1	3
87	что и	2	3
88	может быть	11	3
89	что для	2	3
90	видеть его	1	3
91	сказать что	2	3
92	связь с	1	3
93	к его	1	3
94	его творчество	1	3
95	бы в	1	3
96	то что	5	3
97	речи и	1	3
98	также и	1	2
99	и то	2	2
100	самом деле	1	2
101	на самом	1	2
102	из всех	1	2
103	мы не	1	2
104	совсем не	2	2
105	себе и	1	2
106	что они	2	2
107	в центре	1	2
108	как к	2	2
109	хотя и	2	2
110	когда он	3	2
111	и как	1	2
112	бы и	1	2
113	за это	1	2
114	с их	1	2
115	что она	1	2
116	так часто	1	2
117	людей и	1	2
118	в мире	1	2
119	его в	2	2
120	с тем	2	2
121	он и	1	2
122	для него	5	2
123	в своей	2	2
124	в котором	1	2
125	мир и	1	2
126	если бы	1	2
127	не могли	2	2
128	эти свои	1	2
129	в потоке	1	2
130	дело в	1	2
131	было у	1	2
132	того как	1	2
133	не потому	1	2
134	начиная с	1	2
135	и сам	1	2
136	в борьбе	1	2
137	с ним	3	2
138	его жизни	1	2
139	к нему	3	2
140	отметить что	1	2
141	было бы	3	2
142	что он	3	2
143	действующих лиц	1	2
144	это не	3	2
145	вопрос об	1	2
146	ничто не	2	2
147	уже в	2	2
148	из них	1	2
149	в одном	1	2
150	в других	2	2
151	для того	3	2
152	момент в	2	2
153	интерес к	1	2
154	связан с	1	2
155	человека и	10	2
156	эпоху возрождения	1	2
157	говорит о	1	2
158	был в	1	2
159	его как	1	2
160	он создал	1	2
161	не может	4	2
162	он говорит	1	2
163	а не	11	2
164	но это	1	2
165	все же	2	2
166	и для	2	2
167	а в	5	2
168	от всех	1	2
169	и эта	1	2
170	к этому	2	2
171	смысле слова	1	1
172	в обычном	1	1
173	в этот	2	1
174	о любви	2	1
175	тем же	1	1
176	из самых	1	1
