N	3gram	Berdyaev_O_1	Komedia
1	в том что	1	5
2	о том что	1	4
3	для того чтобы	3	4
4	в самом начале	1	2
5	во всяком случае	1	2
6	что у него	2	2
7	после того как	1	2
8	друг с другом	1	2
9	как например в	1	1
10	потому что в	1	1
11	в самом деле	1	1
12	ни с кем	1	1
13	так и не	1	1
14	свои силы в	1	1
15	у нее не	1	1
16	том случае если	1	1
17	но и в	2	1
18	то что в	1	1
19	в которую он	1	1
20	ни у кого	2	1
21	может быть сопоставлен	1	1
22	в том случае	1	1
23	что он был	1	1
24	в этих словах	1	1
25	никто еще не	1	1
26	утра до вечера	1	1
27	человеку и его	1	1
28	как будто бы	1	1
29	по сравнению с	1	1
30	само по себе	1	1
31	нее не было	1	1
32	и в том	1	1
33	вместо того чтобы	1	1
34	не может быть	2	1
35	никто не может	1	1
36	приходит в голову	1	1
37	у него в	5	1
38	у кого не	1	1
39	это было у	1	1
40	до самого конца	2	1
41	и в самом	1	1
42	в каждом из	1	1
43	не приходит в	1	1
44	там и здесь	1	1
45	с утра до	1	1
