N	2gram	Berdyaev_V_1	OGranits
1	и в	16	13
2	прежде всего	2	9
3	может быть	1	8
4	и не	20	8
5	в его	4	7
6	только в	2	6
7	как бы	5	6
8	не только	2	6
9	то что	9	6
10	все же	1	5
11	в процессе	1	5
12	хотя бы	3	5
13	и эта	1	5
14	мы не	2	4
15	но мы	2	4
16	еще и	1	4
17	но в	3	4
18	то же	1	4
19	лишь в	3	4
20	в сознании	1	4
21	в своей	3	4
22	все это	5	4
23	в двух	1	4
24	и то	2	3
25	в ее	1	3
26	так и	4	3
27	говорить о	4	3
28	в их	1	3
29	в которой	1	3
30	в одном	1	3
31	так как	9	3
32	но и	5	3
33	как и	4	3
34	и уже	1	3
35	не в	3	3
36	да и	2	3
37	есть прежде	1	3
38	и для	3	3
39	никогда не	3	3
40	и все	4	3
41	превращается в	3	3
42	что в	3	3
43	в искусстве	1	3
44	для себя	1	2
45	зависимости от	1	2
46	роль в	1	2
47	которое может	1	2
48	конечно в	1	2
49	есть не	1	2
50	мира если	1	2
51	в ней	4	2
52	ее в	2	2
53	в чем	3	2
54	между тем	2	2
55	что они	7	2
56	вслед за	2	2
57	материалом для	2	2
58	его на	1	2
59	как в	1	2
60	в которую	1	2
61	в этом	4	2
62	в том	3	2
63	мы видим	1	2
64	тот же	3	2
65	с ними	1	2
66	от этого	3	2
67	в целом	1	2
68	и тем	1	2
69	все эти	3	2
70	уже в	1	2
71	в нем	4	2
72	для него	2	2
73	вовсе не	1	2
74	тем что	2	2
75	в них	3	2
76	с другой	1	2
77	в самом	1	2
78	а не	7	2
79	другой стороны	1	2
80	между собою	1	2
81	том что	2	2
82	и ее	1	2
83	так же	1	2
84	с этой	1	2
85	не имеет	3	2
86	бы в	1	2
87	во всем	1	2
88	а в	2	2
89	нет ничего	3	2
90	могут быть	2	2
91	в своих	1	2
92	к тому	3	2
93	и это	2	1
94	и уж	1	1
95	человека и	6	1
96	в виду	1	1
97	и есть	4	1
98	в себя	2	1
99	и до	1	1
100	духа но	2	1
101	в нашу	1	1
102	он всегда	1	1
103	не имеют	1	1
104	на том	2	1
105	в образе	4	1
106	можно было	2	1
107	когда в	2	1
108	мы в	1	1
109	вопрос о	1	1
110	быть может	1	1
111	но может	1	1
112	и над	2	1
113	на себя	5	1
114	и который	1	1
115	то это	3	1
116	в мире	5	1
117	своей истории	2	1
118	и что	3	1
119	еще не	8	1
120	к счастью	3	1
121	к нему	1	1
122	но не	2	1
123	и закономерности	1	1
124	сознания не	1	1
125	есть духовное	1	1
126	может и	1	1
127	природы и	1	1
128	отношение к	1	1
129	в едином	1	1
130	нет и	2	1
131	в истории	8	1
132	и последнее	2	1
133	в своем	1	1
134	один из	2	1
135	его к	2	1
136	что он	4	1
137	существует лишь	1	1
138	по которым	2	1
139	в этой	1	1
140	конечно не	2	1
141	жизнь как	1	1
142	себя и	1	1
143	и если	1	1
144	или даже	1	1
145	раз навсегда	2	1
146	его и	2	1
147	превращаются в	2	1
148	не будут	1	1
149	в понимании	1	1
150	не сумеет	1	1
151	в виде	1	1
152	в конце	3	1
153	и должна	1	1
154	но что	1	1
155	и никогда	2	1
156	на этом	1	1
157	людей и	2	1
158	и вместе	1	1
159	ее на	1	1
160	для того	1	1
161	мы слышим	2	1
162	как мог	1	1
163	мы это	2	1
164	истину что	1	1
165	что мы	4	1
166	для них	2	1
167	не было	3	1
168	она и	1	1
169	которые не	2	1
170	все равно	2	1
171	не всегда	1	1
172	когда я	2	1
173	для человека	2	1
174	должно быть	3	1
175	него не	1	1
176	менее всего	1	1
177	выбора все	1	1
178	и тогда	2	1
179	если не	3	1
180	места ему	1	1
181	связь с	1	1
182	ко всем	1	1
183	как это	1	1
184	за которым	1	1
185	существует как	1	1
186	что всякий	1	1
187	о возможности	1	1
188	и столь	1	1
189	в которых	1	1
190	он говорит	1	1
191	к этому	1	1
192	и вот	1	1
193	их в	3	1
194	в последнем	2	1
195	не создает	2	1
196	этого слова	1	1
197	тому что	3	1
198	нет никакого	1	1
199	но это	3	1
200	равно не	1	1
201	истории и	2	1
202	и другое	1	1
203	сознании и	1	1
204	одна из	2	1
205	уж конечно	2	1
206	мы все	1	1
207	того чтобы	2	1
208	уже на	2	1
209	и чем	1	1
210	не существует	1	1
211	в разных	1	1
212	нам могут	1	1
213	найти в	1	1
214	того как	1	1
215	ее и	2	1
216	лишь как	1	1
217	сложность и	1	1
218	вообще в	1	1
219	властью и	1	1
220	от него	2	1
221	это слово	1	1
222	нужна для	1	1
223	потому что	4	1
224	в новых	1	1
225	которым можно	2	1
226	до того	2	1
227	это все	2	1
228	и именно	1	1
229	с его	3	1
230	указать на	1	1
231	всего в	2	1
232	вместе с	1	1
233	застывшее в	1	1
234	им и	1	1
235	они не	1	1
