N	3gram	Losev_Prob_4	KulturaY
1	и т п	1	24
2	и т д	3	14
3	в том что	8	10
4	можно было бы	4	9
5	с точки зрения	11	8
6	для того чтобы	2	8
7	с другой стороны	6	7
8	только потому что	1	6
9	по крайней мере	6	6
10	в этом смысле	3	5
11	во всяком случае	4	5
12	само по себе	1	5
13	тем не менее	10	5
14	в зависимости от	3	4
15	и тем не	3	4
16	в этой области	1	4
17	не только в	4	4
18	точно так же	3	3
19	в конце концов	1	3
20	в связи с	3	3
21	в то же	2	3
22	потому что он	2	2
23	а следовательно и	1	2
24	не говоря уже	2	2
25	на самом деле	3	2
26	но даже и	4	2
27	только в том	3	2
28	говоря уже о	1	2
29	хотя бы и	2	2
30	с этой точки	1	2
31	вместе с тем	3	2
32	дело не в	2	2
33	так же как	1	2
34	в нашем смысле	10	2
35	и потому что	1	2
36	этой точки зрения	1	2
37	в свою очередь	1	2
38	того или иного	3	2
39	но все же	1	2
40	на то что	1	2
41	то тем самым	1	2
42	в том смысле	2	1
43	хотя и не	2	1
44	нет и в	1	1
45	иметь в виду	1	1
46	прежде всего в	1	1
47	дело в том	1	1
48	в настоящее время	1	1
49	здесь прежде всего	1	1
50	ли сказать что	1	1
51	так по крайней	1	1
52	и если мы	1	1
53	принять во внимание	1	1
54	но все это	1	1
55	до сих пор	1	1
56	и о разных	1	1
57	тот или иной	2	1
58	это не имеет	2	1
59	сам по себе	6	1
60	без особого труда	1	1
61	что он не	1	1
62	по себе и	1	1
63	также и то	1	1
64	бы то ни	1	1
65	в первую очередь	1	1
66	но можно ли	1	1
67	только то что	1	1
68	совершенно ясно что	1	1
69	это вовсе не	1	1
70	не сам по	2	1
71	за что не	1	1
72	научном ни в	1	1
73	и говорить о	1	1
74	том смысле как	1	1
75	одном и том	1	1
76	и не в	1	1
77	и то что	1	1
78	в научном ни	1	1
79	и в других	2	1
80	и в частности	2	1
81	то время как	2	1
82	то для этого	1	1
83	в том или	2	1
84	том что мы	1	1
85	кто не понимает	1	1
86	в данном случае	5	1
87	не то что	1	1
88	сами по себе	2	1
89	можно ли сказать	2	1
90	то ни было	1	1
91	мы не знаем	1	1
92	с одной стороны	1	1
93	не значит что	1	1
94	уж вовсе не	1	1
95	и том же	1	1
96	а также и	2	1
97	в известном смысле	1	1
98	по сравнению с	1	1
99	ни в научном	1	1
100	крайней мере об	1	1
101	не только для	2	1
102	в последнее время	1	1
103	не в том	1	1
104	которая была бы	1	1
105	ни за что	1	1
106	те или иные	4	1
107	в каком смысле	2	1
108	все подобного рода	3	1
109	о революции здесь	1	1
110	в одном и	1	1
111	есть не что	2	1
112	ни в каком	5	1
113	д и т	1	1
114	хотя бы на	1	1
115	заключается в том	2	1
116	в то время	2	1
117	в том чтобы	2	1
118	как и в	1	1
119	если мы имеем	1	1
120	о том что	3	1
121	ничего общего с	2	1
122	а не просто	1	1
123	но и для	1	1
124	с самого начала	1	1
125	и прежде всего	2	1
126	того чтобы не	1	1
127	что иное как	2	1
128	несмотря на все	1	1
129	не выходит за	2	1
130	у нас в	1	1
131	в другом случае	2	1
132	к тому что	1	1
133	было бы сказать	1	1
134	не что иное	2	1
135	тех или иных	3	1
136	т д и	1	1
137	потому что она	2	1
138	сама по себе	2	1
139	в предисловии к	1	1
140	в буквальном смысле	2	1
141	не допускаются в	1	1
142	и если для	1	1
143	к тому же	2	1
