N	2gram	Losev_Vlad_2	Tvorches
1	у достоевского	2	30
2	и в	30	20
3	в году	24	16
4	и т	1	13
5	не только	12	13
6	т д	1	11
7	никогда не	7	11
8	м м	4	11
9	как бы	5	11
10	таким образом	3	10
11	в то	9	10
12	в его	11	10
13	и его	6	9
14	там же	12	9
15	же с	13	9
16	и не	18	9
17	при этом	5	8
18	и с	14	8
19	в том	18	8
20	может быть	7	8
21	в этом	20	8
22	прежде всего	6	8
23	но и	8	8
24	м с	9	7
25	то же	4	7
26	это не	2	7
27	л п	1	7
28	представление о	1	7
29	же время	3	7
30	наряду с	2	7
31	года в	6	7
32	потому что	9	7
33	не может	9	7
34	xix века	1	7
35	что в	12	7
36	в целом	4	6
37	как и	5	6
38	в своей	5	6
39	что он	13	6
40	так и	5	6
41	в конце	13	6
42	у него	19	6
43	именно в	4	6
44	а не	7	6
45	в бесах	1	6
46	в основном	5	6
47	все это	5	6
48	например в	1	5
49	еще не	1	5
50	и на	4	5
51	но не	3	5
52	из архива	1	5
53	все же	9	5
54	в этой	4	5
55	если он	1	5
56	и сам	2	5
57	то есть	7	5
58	о том	4	5
59	и даже	10	5
60	но это	4	5
61	так же	4	5
62	мы не	2	4
63	все эти	5	4
64	что они	1	4
65	как в	3	4
66	хотя и	6	4
67	когда он	1	4
68	но в	8	4
69	за собой	1	4
70	не в	9	4
71	в дальнейшем	5	4
72	на его	4	4
73	что она	1	4
74	об этом	6	4
75	года и	1	4
76	если бы	1	4
77	а а	3	4
78	ничего не	2	4
79	в чем	2	4
80	в лице	1	4
81	января года	3	4
82	в душе	1	4
83	а в	11	4
84	марта года	4	4
85	если не	2	4
86	и потому	2	4
87	и от	2	4
88	том что	12	4
89	одним из	1	3
90	и отчасти	1	3
91	письма к	4	3
92	он сам	2	3
93	о жизни	1	3
94	в письмах	1	3
95	в себе	6	3
96	в нем	4	3
97	он не	4	3
98	так например	1	3
99	его в	4	3
100	и мы	4	3
101	но уже	2	3
102	достоевского но	2	3
103	в самом	2	3
104	в котором	5	3
105	в их	2	3
106	место в	1	3
107	в которых	1	3
108	своего рода	1	3
109	собр соч	1	3
110	тем что	1	3
111	казалось бы	2	3
112	года он	10	3
113	и это	3	3
114	быть может	1	3
115	с ним	5	3
116	до сих	1	3
117	любви к	1	3
118	этот вопрос	1	3
119	достоевского можно	1	3
120	апреля года	1	3
121	уже не	3	3
122	в начале	4	3
123	для него	9	3
124	так как	5	3
125	то что	20	3
126	как у	2	3
127	и др	1	3
128	что не	2	3
129	а ф	7	3
130	вместе с	8	3
131	характера и	1	3
132	несколько раз	1	3
133	в пользу	1	3
134	с этой	4	3
135	сих пор	1	3
136	нет ничего	3	3
137	по самой	1	3
138	жизни в	2	3
139	в своих	2	3
140	к этому	6	3
141	в таком	3	3
142	как известно	1	2
143	не должны	1	2
144	самом деле	1	2
145	от этой	1	2
146	и есть	2	2
147	по преимуществу	1	2
148	он всегда	1	2
149	говорить о	1	2
150	со своими	1	2
151	я не	4	2
152	и он	4	2
153	свободных от	1	2
154	тут же	2	2
155	нет и	1	2
156	во многом	1	2
157	во что	1	2
158	так что	5	2
159	октября года	3	2
160	и наконец	4	2
161	в этот	1	2
162	но эта	1	2
163	в которой	4	2
164	тоже не	1	2
165	т п	1	2
166	тому же	1	2
167	во многих	2	2
168	так сказать	1	2
169	и если	4	2
170	в статье	2	2
171	же году	2	2
172	едва ли	3	2
173	сердце и	1	2
174	и по	2	2
175	том же	3	2
176	говорил что	1	2
177	при помощи	1	2
178	особенно в	1	2
179	он же	2	2
180	которой он	2	2
181	м т	1	2
182	такой же	1	2
183	зато в	1	2
184	и еще	1	2
185	в такой	1	2
186	всему миру	1	2
187	не столько	3	2
188	в отличие	3	2
189	что я	3	2
190	т ii	3	2
191	их в	2	2
192	не могли	3	2
193	что этот	1	2
194	феврале года	1	2
195	не менее	7	2
196	как о	1	2
197	на него	1	2
198	в петербург	5	2
199	в русской	1	2
200	письма т	9	2
201	соловьев в	9	2
202	и лишь	1	2
203	у нас	6	2
204	если у	1	2
205	ли не	1	2
206	так в	1	2
207	он писал	1	2
208	сводится к	1	2
209	и что	5	2
210	что его	4	2
211	крайней мере	4	2
212	всяком случае	6	2
213	о своих	1	2
214	а н	14	2
215	в литературе	1	2
216	всякого рода	6	2
217	только в	6	2
218	князя и	1	2
219	и ее	1	2
220	не мешает	1	2
221	точка зрения	1	2
222	себя в	2	2
223	декабря года	5	2
224	уже в	3	2
225	в виде	3	2
226	или даже	1	2
227	и других	1	2
228	из них	1	2
229	его и	2	2
230	не так	1	2
231	в одном	1	2
232	вовсе не	4	2
233	отходит от	1	2
234	друг друга	2	2
235	только с	1	2
236	отличие от	3	2
237	к философской	1	2
238	рядом с	1	2
239	в свой	1	2
240	здравого смысла	2	2
241	июля года	2	2
242	не было	10	2
243	на этот	4	2
244	по крайней	4	2
245	в произведениях	1	2
246	и вообще	10	2
247	в частности	2	2
248	начиная с	2	2
249	в россии	3	2
250	к человечеству	1	2
251	в первой	1	2
252	и м	1	2
253	него в	4	2
254	характера в	1	2
255	вообще говоря	2	2
256	ни к	1	2
257	ii с	2	2
258	но если	1	2
259	и без	1	2
260	из этого	5	2
261	отказаться от	1	2
262	но эти	1	2
263	однако эти	1	2
264	уже после	1	2
265	во всяком	6	2
266	с новыми	1	1
267	до года	2	1
268	если б	1	1
269	можно говорить	3	1
270	с с	4	1
271	не имел	2	1
272	бытия а	1	1
273	н ф	5	1
274	на подобные	1	1
275	и должно	1	1
276	в среду	1	1
277	спб с	1	1
278	из его	2	1
279	действительности и	1	1
280	и за	1	1
281	с в	4	1
