N	3gram	Ircho_Kome_1	Problemy
1	то же время	4	12
2	в то же	4	12
3	с самого начала	1	8
4	в отношении к	1	7
5	и т п	5	6
6	по отношению к	3	5
7	во всяком случае	2	5
8	бы то ни	2	4
9	то ни было	2	4
10	и прежде всего	1	4
11	на протяжении всего	2	4
12	а между тем	1	3
13	отношение к себе	1	3
14	в высшей степени	1	3
15	в конце концов	4	3
16	и все это	1	3
17	с другой стороны	5	3
18	вы думаете что	1	3
19	может быть даже	2	3
20	смысле этого слова	1	2
21	в чем не	1	2
22	время от времени	1	2
23	и к тому	1	2
24	подобно тому как	1	2
25	вместе с тем	1	2
26	в отличие от	1	2
27	а может быть	1	2
28	что все это	1	2
29	каждый из них	2	2
30	которого он в	1	2
31	о том что	3	2
32	ни в чем	1	2
33	тем не менее	1	2
34	в большинстве случаев	1	2
35	к тому же	5	2
36	именно потому что	2	2
37	и т д	4	2
38	как мы видели	1	2
39	сплошь да рядом	1	1
40	и ненависть к	1	1
41	хотя и не	1	1
42	или хотя бы	1	1
43	раз в жизни	1	1
44	в чем же	1	1
45	в нашу задачу	1	1
46	он не мог	1	1
47	большей или меньшей	1	1
48	в том же	1	1
49	может и не	1	1
50	что же касается	1	1
51	до сих пор	2	1
52	что он не	1	1
53	в этом отношении	3	1
54	это вовсе не	1	1
55	как мы уже	1	1
56	героев правда в	1	1
57	со всех сторон	1	1
58	и у других	1	1
59	к тому что	1	1
60	в значительной степени	1	1
61	в данном случае	1	1
62	ни в одном	1	1
63	на этот раз	1	1
64	но при этом	1	1
65	как будто бы	1	1
66	в его произведениях	1	1
67	во всех отношениях	1	1
68	но и не	1	1
69	и тот же	1	1
70	и в том	1	1
71	потому что они	1	1
72	быть даже и	1	1
73	как и в	2	1
74	из них он	1	1
75	на него если	1	1
76	к нему с	1	1
77	на то что	2	1
78	для того чтобы	1	1
79	в том что	9	1
