N	2gram	Propp_Isto_7	OGranits
1	и в	24	13
2	и его	3	12
3	прежде всего	2	9
4	может быть	14	8
5	не может	14	8
6	и не	4	8
7	в его	1	7
8	и их	1	7
9	и пр	1	7
10	точки зрения	4	7
11	только в	6	6
12	как бы	4	6
13	не только	21	6
14	то что	7	6
15	мы должны	4	6
16	таким образом	7	6
17	все же	9	5
18	и наконец	3	5
19	с точки	1	5
20	хотя бы	1	5
21	и эта	2	5
22	мы не	4	4
23	но мы	1	4
24	тех пор	1	4
25	но в	5	4
26	мы можем	4	4
27	то же	8	4
28	в сознании	1	4
29	в своей	1	4
30	было бы	2	4
31	все это	8	4
32	в каждом	1	4
33	связана с	1	3
34	и то	1	3
35	в ее	2	3
36	самом деле	1	3
37	так и	5	3
38	в их	4	3
39	по отношению	1	3
40	в поэтике	1	3
41	только путем	1	3
42	с этим	2	3
43	в которой	2	3
44	ни один	1	3
45	так как	8	3
46	здесь мы	5	3
47	но и	11	3
48	как и	6	3
49	и уже	1	3
50	что же	1	3
51	не в	9	3
52	но для	2	3
53	никогда не	4	3
54	и все	6	3
55	превращается в	3	3
56	отношению к	1	3
57	не столько	3	3
58	что в	13	3
59	поставить вопрос	1	3
60	и наиболее	1	2
61	для себя	1	2
62	и др	2	2
63	данном случае	3	2
64	зависимости от	1	2
65	и может	1	2
66	мы уже	4	2
67	те же	1	2
68	есть не	1	2
69	мог бы	1	2
70	подойти к	1	2
71	если бы	1	2
72	что иное	1	2
73	в ней	1	2
74	ее в	3	2
75	а также	1	2
76	в чем	5	2
77	мы понимаем	1	2
78	в ряд	2	2
79	во всей	1	2
80	каждый элемент	1	2
81	что они	3	2
82	вслед за	1	2
83	его на	2	2
84	как в	12	2
85	в данном	4	2
86	в этом	12	2
87	но так	1	2
88	в том	7	2
89	мы видим	10	2
90	тот же	2	2
91	с ними	1	2
92	в действительности	2	2
93	от этого	1	2
94	в этот	1	2
95	во времени	1	2
96	в целом	1	2
97	и тем	2	2
98	все эти	2	2
99	с одной	5	2
100	думать что	2	2
101	уже в	3	2
102	кажется что	3	2
103	в нем	6	2
104	связанные с	2	2
105	при этом	4	2
106	в другом	1	2
107	вовсе не	4	2
108	в зависимости	1	2
109	тем что	6	2
110	в них	3	2
111	и задача	1	2
112	с другой	9	2
113	а как	1	2
114	в самом	2	2
115	входит в	1	2
116	одной стороны	5	2
117	а не	8	2
118	другой стороны	8	2
119	в руках	2	2
120	там где	5	2
121	не мог	1	2
122	в связи	2	2
123	том что	10	2
124	от своего	1	2
125	и при	1	2
126	и ее	2	2
127	так же	6	2
128	своего рода	4	2
129	в тех	5	2
130	с этой	6	2
131	не менее	5	2
132	что эта	1	2
133	не имеет	4	2
134	в книге	1	2
135	от всех	2	2
136	во всем	2	2
