N	3gram	Vygotskiy__4	UchenyiS
1	не может быть	1	4
2	по нашему мнению	2	3
3	с другой стороны	8	3
4	бы то ни	1	3
5	в этой области	2	3
6	то ни было	1	3
7	не могут быть	2	2
8	в самом деле	6	2
9	но даже и	1	2
10	в этом смысле	8	2
11	то же самое	7	2
12	до сих пор	1	2
13	в этом отношении	7	2
14	на каждом шагу	6	2
15	в том что	31	2
16	и то что	4	2
17	и в частности	1	2
18	тех или иных	1	2
19	в конце концов	1	2
20	оно все же	1	1
21	мы полагаем что	1	1
22	все же не	1	1
23	не только к	1	1
24	знак равенства между	1	1
25	с другом не	1	1
26	равно как и	1	1
27	он может быть	1	1
28	в этом случае	3	1
29	верно и то	1	1
30	и не только	2	1
31	на первый план	4	1
32	в той же	1	1
33	не входит в	1	1
34	таким образом на	1	1
35	само по себе	1	1
36	в первую очередь	4	1
37	в своей совокупности	1	1
38	с тем что	3	1
39	нам думается что	1	1
40	можно сказать что	1	1
41	на то что	4	1
42	поставить знак равенства	1	1
43	все это в	1	1
44	понятий с другой	1	1
45	друг с другом	7	1
46	в данном случае	2	1
47	может быть в	1	1
48	они относятся к	1	1
49	не только в	1	1
50	с одной стороны	9	1
