N	2gram	Savitsky_P_1	Problema
1	и в	14	44
2	и не	12	35
3	не есть	1	35
4	может быть	5	28
5	по себе	4	25
6	потому что	3	25
7	не просто	1	23
8	то что	4	23
9	в том	9	21
10	только в	7	19
11	а не	2	18
12	в этом	10	17
13	также и	1	16
14	если мы	1	16
15	для нас	2	16
16	и то	1	14
17	не только	17	14
18	и т	3	13
19	то же	9	13
20	т д	1	13
21	не в	5	13
22	но в	9	12
23	том что	4	12
24	отнюдь не	2	10
25	как и	1	10
26	не менее	2	10
27	но и	6	10
28	не имеет	1	9
29	в нем	3	9
30	и с	2	9
31	это не	3	9
32	и тем	2	9
33	в то	7	9
34	и это	2	9
35	никак не	2	9
36	в его	2	9
37	что и	1	9
38	в данном	1	9
39	как бы	4	9
40	во всяком	1	9
41	в себе	3	8
42	было бы	6	8
43	бесконечное количество	1	8
44	есть нечто	2	8
45	как раз	2	8
46	того что	2	8
47	или иной	1	8
48	что мы	3	8
49	что в	4	8
50	мы не	3	7
51	мы должны	4	7
52	и что	1	7
53	с другой	5	7
54	не может	4	7
55	и потому	4	7
56	все же	1	6
57	и к	4	6
58	и если	4	6
59	ясно что	1	6
60	никогда не	1	6
61	для этого	1	6
62	и только	1	6
63	всяком случае	1	6
64	сами по	3	6
65	мы можем	1	6
66	нет ничего	1	6
67	в виде	2	6
68	и есть	2	5
69	есть не	2	5
70	еще не	1	5
71	в своем	4	5
72	хотя и	3	5
73	с тем	3	5
74	точки зрения	3	5
75	тем самым	3	5
76	и о	5	5
77	в ней	6	5
78	и здесь	1	5
79	только на	1	5
80	гораздо более	1	5
81	не было	2	5
82	так же	1	5
83	да и	2	5
84	все это	2	5
85	а в	4	5
86	другой стороны	1	5
87	но как	1	4
88	могли бы	1	4
89	заключается в	3	4
90	и без	3	4
91	нет никакого	1	4
92	и притом	1	4
93	в ее	2	4
94	а также	4	4
95	в каком	1	4
96	отношения к	2	3
97	же как	1	3
98	выражается в	1	3
99	говорить о	2	3
100	и ее	1	3
101	но не	3	3
102	и как	3	3
103	в самом	1	3
104	что это	1	3
105	в этой	1	3
106	на то	1	3
107	как оно	1	3
108	идеи и	1	3
109	одно и	1	3
110	его в	1	3
111	в которых	5	3
112	и очень	1	3
113	иной раз	1	3
114	та или	1	3
115	находятся в	1	3
116	или иная	1	3
117	именно потому	1	3
118	она не	1	3
119	идет речь	1	3
120	с собой	1	3
121	когда в	1	3
122	если бы	4	3
123	в порядке	3	3
124	во всей	2	3
125	в качестве	9	3
126	есть в	2	3
127	уже в	1	3
128	само по	1	3
129	отличие от	1	3
130	мы возьмем	1	3
131	прежде всего	3	3
132	ни на	1	3
133	в условиях	1	3
134	тем более	2	3
135	ни к	1	3
136	хотя бы	8	3
137	же в	4	3
138	и другие	1	3
139	именно здесь	1	2
140	том виде	1	2
141	в некотором	1	2
142	мы и	1	2
143	литературы и	1	2
144	во всех	2	2
145	бы она	1	2
146	в известном	1	2
147	с этим	2	2
148	тем же	1	2
149	не очень	1	2
150	значение если	1	2
151	в которой	1	2
152	не будем	2	2
153	в наших	1	2
154	сравнению с	1	2
155	что все	1	2
156	для них	2	2
157	у с	1	2
158	на основании	1	2
159	нисколько не	1	2
160	в этих	1	2
161	и при	1	2
162	в котором	4	2
163	с точки	3	2
164	по сравнению	2	2
165	не столько	2	2
166	в отличие	1	2
167	бы мы	1	2
