N	3gram	Bakhtin_KF_1	Istorich
1	в иной мир	1	6
2	и то что	1	5
3	не может быть	11	4
4	в одном случае	1	3
5	на то что	1	3
6	в средние века	1	2
7	то же самое	1	2
8	на задний план	1	2
9	смысле этого слова	1	2
10	в другом случае	1	2
11	тем не менее	2	2
12	и может быть	2	1
13	на том что	1	1
14	вовсе не есть	2	1
15	то что и	1	1
16	между прочим и	1	1
17	в зависимости от	1	1
18	независимо от того	1	1
19	одновременно и в	1	1
20	то что этот	1	1
21	в основе своей	1	1
22	может быть только	7	1
23	средних веков и	1	1
24	может быть и	1	1
25	здесь мы видим	1	1
26	между ним и	1	1
27	полагать что эта	1	1
28	здесь мы имеем	2	1
29	не потому что	1	1
30	в этот момент	1	1
31	именно в этой	1	1
32	во всех этих	2	1
33	не в том	1	1
34	с нашей точки	1	1
35	мы имеем здесь	1	1
36	вместе с тем	1	1
37	не в нем	1	1
38	мы не можем	1	1
39	а не просто	1	1
40	же самое что	1	1
41	в целом и	2	1
42	и тем самым	1	1
43	быть и то	1	1
44	он не имеет	1	1
45	нашей точки зрения	1	1
46	между жизнью и	1	1
47	он может быть	2	1
48	в большинстве случаев	1	1
49	к тому что	1	1
50	смысле и значении	1	1
51	всех этих случаях	1	1
52	что и в	1	1
53	только тогда когда	1	1
54	и действительно есть	1	1
