N	3gram	Vygotskiy__4	TeoriaLi
1	по отношению к	1	8
2	в том что	12	6
3	то же время	1	6
4	в то же	1	6
5	в конечном счете	1	4
6	в своем составе	1	3
7	с другой стороны	2	3
8	можно сказать что	1	3
9	в свою очередь	1	3
10	в этом смысле	1	3
11	с точки зрения	4	2
12	но он не	1	2
13	с одной стороны	3	2
14	а с другой	1	2
15	так или иначе	1	2
16	не только не	2	2
17	сама по себе	3	2
18	не может быть	1	2
19	таким образом что	2	1
20	и в сущности	1	1
21	раз в том	1	1
22	в виду не	1	1
23	этой точки зрения	1	1
24	есть как бы	1	1
25	дело в том	1	1
26	подобно тому как	1	1
27	за минуту до	1	1
28	а не все	1	1
29	никак не может	2	1
30	со всех сторон	1	1
31	как это делает	2	1
32	начала и конца	1	1
33	минуту до этого	1	1
34	толстым в его	1	1
35	в таком случае	1	1
36	в целом ряде	1	1
37	и в то	1	1
38	что он не	4	1
39	бы то ни	1	1
40	только то что	1	1
41	из того что	1	1
42	говорит что он	1	1
43	в воображении читателя	1	1
44	точно так же	3	1
45	и здесь мы	1	1
46	что одна из	1	1
47	как раз в	4	1
48	то что может	1	1
49	в художественном произведении	1	1
50	то ни было	1	1
51	таком случае это	1	1
52	в евгении онегине	1	1
53	и в этой	1	1
54	несет в себе	3	1
55	так что она	1	1
56	так же точно	5	1
57	как бы в	1	1
58	так же как	3	1
59	в то время	2	1
60	с этой точки	1	1
61	может быть это	2	1
62	это и есть	3	1
63	только в воображении	1	1
64	в истории литературы	1	1
65	о том что	10	1
66	ее никто не	1	1
67	в том и	1	1
68	по поводу этой	2	1
69	для того чтобы	19	1
70	том что он	3	1
71	этом так как	1	1
72	к тому же	2	1
