N	4gram	Propp_Morf_1	Psycholo
1	в то время как	3	5
2	в собственном смысле слова	3	2
3	и тем не менее	1	1
4	совершенно ясно что и	1	1
5	образом мы видим что	3	1
6	отношении друг к другу	1	1
7	не может быть объяснено	1	1
8	одно и то же	1	1
9	и т д все	1	1
10	друг к другу и	2	1
11	в том случае если	1	1
12	изучения в то время	1	1
13	таким образом мы видим	3	1
14	в коем случае не	1	1
15	состоит в том что	2	1
16	во всем ее объеме	1	1
17	на составные части но	1	1
18	даже в тех случаях	1	1
19	ни в коем случае	1	1
20	уже не может быть	1	1
