N	2gram	Berdyaev_O_1	Istorich
1	и в	19	22
2	в этом	12	17
3	т е	4	16
4	что в	4	15
5	не только	11	14
6	но и	13	12
7	и не	13	12
8	попадает в	1	11
9	в этих	3	11
10	может быть	11	11
11	и пр	1	11
12	но в	2	10
13	еще не	3	10
14	в нем	10	9
15	что и	2	9
16	в том	5	9
17	что он	3	9
18	этот случай	1	8
19	что они	2	8
20	том что	2	8
21	но не	1	7
22	то что	5	7
23	и здесь	1	7
24	уже не	1	7
25	из них	1	7
26	так как	2	7
27	к этому	2	7
28	не вполне	1	6
29	не все	2	6
30	это не	3	6
31	ничего не	2	6
32	все еще	2	6
33	если бы	1	6
34	в них	1	6
35	а не	11	6
36	связь с	1	6
37	а в	5	6
38	все же	2	5
39	он не	7	5
40	что она	1	5
41	в этой	5	5
42	могут быть	3	5
43	к нему	3	5
44	того что	3	5
45	один из	1	5
46	так что	2	5
47	в частности	1	5
48	и на	2	4
49	все эти	4	4
50	отношение к	5	4
51	не в	11	4
52	и с	2	4
53	у нас	1	4
54	как это	1	4
55	но он	7	4
56	к ней	2	4
57	и его	4	4
58	тем что	2	4
59	она не	1	4
60	находится в	1	4
61	его и	1	4
62	в других	2	4
63	а именно	1	4
64	и там	2	4
65	не может	4	4
66	связана с	1	3
67	и ее	3	3
68	со стороны	1	3
69	в одной	1	3
70	и как	1	3
71	и к	2	3
72	представляет собой	1	3
73	его в	2	3
74	было бы	3	3
75	должен был	2	3
76	приходит в	1	3
77	как и	6	3
78	одном из	1	3
79	можно ли	2	3
80	в русской	3	3
81	никогда не	9	3
82	потому что	9	3
83	он и	1	3
84	они и	1	3
85	о том	3	3
86	уже с	1	3
87	что у	2	3
88	особого рода	1	3
89	в его	7	3
90	с ними	1	3
91	прежде всего	9	3
92	у него	22	3
93	но это	1	3
94	и от	3	3
95	его не	2	3
96	и все	10	3
97	он видит	1	3
98	сказать что	2	3
99	ее в	2	3
100	все что	3	3
101	ту же	1	2
102	например в	1	2
103	и то	2	2
104	на самом	1	2
105	но тем	1	2
106	и есть	3	2
107	в котором	1	2
108	не имеют	1	2
109	вопрос о	10	2
110	и он	8	2
111	в ней	1	2
112	себе и	1	2
113	как в	1	2
114	в своем	2	2
115	хотя и	2	2
116	в этот	2	2
117	видно что	1	2
118	они в	1	2
119	и вот	3	2
120	так часто	1	2
121	так и	2	2
122	же не	1	2
123	смерть и	1	2
124	вовсе не	1	2
125	с тем	2	2
126	и для	2	2
127	после этого	1	2
128	над ними	1	2
129	что было	1	2
130	и более	1	2
131	не имеет	2	2
132	одна из	1	2
133	показывает нам	1	2
134	в русском	1	2
135	его он	1	2
136	как будто	1	2
137	есть у	1	2
138	и это	1	2
139	что делается	1	2
140	и о	2	2
141	в другом	2	2
142	не с	1	2
143	связан с	1	2
144	после того	1	2
145	и что	1	2
146	за это	1	2
147	в силу	1	2
148	с того	1	2
149	все время	1	2
150	же можно	2	2
151	и действительно	1	2
152	в жизни	1	2
153	что не	4	2
154	еще одну	1	2
155	него и	4	2
156	всяком случае	1	2
157	в одном	1	2
158	никто не	3	2
159	у нее	1	2
160	и даже	1	2
161	но есть	1	2
162	не было	9	2
163	всю жизнь	1	2
164	и потому	2	2
165	да и	1	2
166	с тобой	1	2
167	указать на	1	2
168	от него	7	2
169	еще более	1	2
170	ты не	1	2
171	нет ничего	7	2
172	совершенно не	1	2
173	жизни и	1	2
174	во всяком	1	2
175	кто бы	1	1
176	также и	1	1
177	и через	1	1
178	самом деле	1	1
179	этого мира	2	1
180	не хочет	1	1
181	и до	1	1
182	из всех	1	1
183	есть не	1	1
184	с обычными	1	1
185	мы не	1	1
186	человека и	10	1
187	русской и	1	1
188	из сторон	1	1
189	к которой	1	1
190	всего он	1	1
191	со всеми	1	1
192	очень ясно	1	1
193	к богу	1	1
194	в новом	1	1
195	иногда и	1	1
196	есть просто	1	1
197	что как	1	1
198	еще больше	1	1
199	хочет сделать	1	1
200	к этой	2	1
201	с душой	1	1
202	не очень	2	1
203	говорят о	1	1
204	что это	1	1
205	он в	2	1
206	и кто	1	1
207	на то	1	1
208	человек не	7	1
209	больше всего	1	1
210	должна быть	1	1
211	видел в	1	1
212	видеть в	1	1
213	в корне	1	1
214	исходит от	1	1
215	из него	1	1
216	этот период	1	1
217	человека в	11	1
218	в мире	1	1
219	в глубине	7	1
220	к черту	2	1
221	где оно	1	1
222	заключается в	1	1
223	подходит к	1	1
224	только одно	3	1
225	тех которые	1	1
226	этого она	1	1
227	она и	1	1
228	чем в	2	1
229	ведет к	1	1
230	над его	1	1
231	в царстве	1	1
232	в своей	2	1
233	художественного творчества	1	1
234	это подтверждается	1	1
235	любовь и	1	1
236	есть один	1	1
237	идти в	1	1
238	героя из	1	1
239	ко всему	1	1
240	не могли	2	1
241	по себе	2	1
242	и очень	2	1
243	одну особенность	1	1
244	того как	1	1
